,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270
0,43,36,34,24,25,50,44,45,36,50,36,36,28,27,-15,4,-21,-8,-4,2.0,0.0,23.0,-71.0,-37.0,-105.0,-116.0,-207.0,-116.0,-145.0,-130.0,-133.0,-116.0,-128.0,-98.0,-49.0,-94.0,-81.0,-2.0,0.0,0.0,0.0,0.0,0.0,36.0,-76.0,0.0,-34.0,-13.0,-17.0,-23.0,-23.0,-20.0,-51.0,-40.0,-55.0,-4.0,-58.0,-42.0,-52.0,-42.0,-37.0,-64.0,-70.0,-64.0,-74.0,-51.0,-69.0,-35.0,-40.0,-8.0,-107.0,-158.0,-182.0,-188.0,-254.0,-282.0,-299.0,-315.0,-312.0,-305.0,-252.0,-220.0,-222.0,-269.0,-273.0,-247.0,-278.0,-259.0,-293.0,-232.0,-232.0,-279.0,-299.0,-303.0,-303.0,-304.0,-304.0,-299.0,-304.0,-305.0,-298.0,-282.0,-282.0,-295.0,-297.0,-297.0,-288.0,-305.0,-281.0,-294.0,-290.0,-309.0,-309.0,-310.0,-312.0,-278.0,-314.0,-291.0,-310.0,-313.0,-314.0,-304.0,-314.0,-310.0,-356.0,-356.0,-353.0,-312.0,-200.0,-190.0,-293.0,-383.0,-457.0,-553.0,-566.0,-714.0,-801.0,-807.0,-951.0,-1131.0,-1134.0,-1075.0,-1200.0,-1212.0,-1227.0,-1253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,46,49,52,42,49,35,36,10,11,8,20,10,24,24,33,22,36,28,23.0,18.0,24.0,24.0,29.0,53.0,50.0,22.0,66.0,25.0,18.0,10.0,0.0,12.0,40.0,-19.0,-17.0,-41.0,0.0,-13.0,-17.0,-12.0,0.0,-73.0,-21.0,-13.0,-2.0,-81.0,-75.0,-85.0,-63.0,-68.0,-58.0,-99.0,-70.0,-111.0,13.0,-45.0,-7.0,2.0,-16.0,-28.0,-19.0,-25.0,-30.0,-40.0,-38.0,-34.0,-27.0,-35.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,39,11,39,29,55,41,59,50,52,42,68,43,52,19,28,34,37,6,31.0,18.0,34.0,20.0,17.0,-27.0,16.0,-48.0,35.0,26.0,48.0,-37.0,70.0,34.0,97.0,77.0,106.0,95.0,96.0,87.0,89.0,77.0,86.0,65.0,120.0,114.0,122.0,67.0,74.0,31.0,163.0,-45.0,-48.0,-61.0,-26.0,-108.0,-72.0,-28.0,-7.0,-34.0,-5.0,-19.0,-22.0,-18.0,-47.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31,50,44,56,45,47,59,59,47,42,59,55,42,41,39,41,42,50,46,22.0,33.0,42.0,51.0,64.0,2.0,16.0,15.0,14.0,18.0,30.0,38.0,39.0,5.0,48.0,7.0,25.0,9.0,32.0,21.0,29.0,27.0,37.0,68.0,54.0,26.0,37.0,6.0,104.0,70.0,57.0,94.0,91.0,32.0,162.0,53.0,142.0,191.0,178.0,185.0,116.0,0.0,-8.0,-11.0,-22.0,-1.0,0.0,-48.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,-15.0,-17.0,-31.0,0.0,0.0,0.0,-17.0,-27.0,-37.0,-44.0,-44.0,-38.0,-48.0,-21.0,-27.0,-30.0,-48.0,-31.0,-25.0,-15.0,-25.0,-19.0,-3.0,-27.0,-3.0,-7.0,-26.0,-16.0,-11.0,-15.0,-11.0,-27.0,-32.0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,31,43,51,60,62,59,57,59,47,58,53,49,34,56,50,58,35,37,20,31.0,38.0,37.0,33.0,26.0,30.0,24.0,32.0,59.0,77.0,59.0,44.0,59.0,43.0,89.0,95.0,106.0,83.0,92.0,85.0,88.0,85.0,100.0,90.0,89.0,40.0,66.0,0.0,45.0,0.0,25.0,22.0,56.0,48.0,50.0,5.0,21.0,14.0,84.0,75.0,105.0,74.0,75.0,82.0,238.0,230.0,226.0,276.0,232.0,281.0,269.0,281.0,287.0,281.0,276.0,314.0,310.0,353.0,291.0,294.0,298.0,326.0,362.0,297.0,237.0,339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,23,46,9,26,5,35,-2,49,20,53,24,44,35,31,15,11,17,25,46,52.0,23.0,37.0,30.0,38.0,55.0,64.0,35.0,62.0,36.0,64.0,22.0,28.0,35.0,27.0,12.0,31.0,37.0,10.0,36.0,17.0,34.0,61.0,45.0,57.0,50.0,77.0,65.0,68.0,73.0,66.0,21.0,59.0,47.0,66.0,59.0,117.0,70.0,105.0,111.0,168.0,184.0,419.0,251.0,304.0,231.0,313.0,310.0,326.0,302.0,271.0,285.0,277.0,266.0,298.0,293.0,328.0,309.0,307.0,313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,33,43,40,32,30,55,43,41,25,60,56,62,38,62,62,67,67,80,59,79.0,70.0,101.0,23.0,45.0,45.0,56.0,40.0,70.0,62.0,71.0,57.0,45.0,65.0,74.0,50.0,82.0,84.0,118.0,100.0,167.0,158.0,157.0,136.0,199.0,134.0,134.0,124.0,136.0,141.0,148.0,147.0,163.0,163.0,160.0,180.0,189.0,202.0,136.0,100.0,132.0,169.0,177.0,143.0,203.0,168.0,198.0,222.0,241.0,166.0,242.0,251.0,427.0,441.0,438.0,560.0,599.0,585.0,625.0,623.0,848.0,999.0,1019.0,1131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,28,28,21,54,22,43,21,31,26,56,43,61,50,61,27,67,35,83,50,52.0,48.0,55.0,32.0,108.0,87.0,93.0,80.0,54.0,37.0,46.0,12.0,16.0,12.0,112.0,98.0,70.0,45.0,80.0,4.0,0.0,0.0,74.0,84.0,118.0,139.0,146.0,124.0,153.0,151.0,142.0,116.0,134.0,118.0,153.0,130.0,118.0,111.0,209.0,112.0,113.0,94.0,113.0,102.0,98.0,-69.0,149.0,-36.0,37.0,35.0,54.0,10.0,13.0,3.0,91.0,86.0,805.0,817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24,26,35,39,29,27,21,47,27,45,12,31,29,48,-14,-3,-12,-11,-18,3.0,5.0,15.0,-13.0,-2.0,-25.0,8.0,-32.0,-18.0,-33.0,-22.0,-29.0,0.0,-19.0,-16.0,-46.0,-19.0,-101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25,57,49,65,47,54,68,57,56,76,47,69,42,46,33,62,64,68,62,38.0,43.0,39.0,48.0,96.0,75.0,43.0,43.0,49.0,32.0,48.0,27.0,63.0,34.0,35.0,59.0,80.0,44.0,37.0,-16.0,0.0,-42.0,-45.0,-53.0,-29.0,-47.0,-43.0,-16.0,0.0,-15.0,0.0,0.0,-12.0,-24.0,-16.0,-40.0,-12.0,-14.0,-19.0,-47.0,0.0,-10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17,32,22,50,38,38,31,44,32,48,18,6,-9,11,15,30,1,11,9,-7.0,-18.0,-3.0,-66.0,-69.0,-67.0,-58.0,-58.0,-17.0,-50.0,-29.0,-20.0,-29.0,-25.0,-31.0,-44.0,-14.0,-32.0,-8.0,-14.0,-12.0,-17.0,-11.0,-228.0,-232.0,-203.0,-175.0,-214.0,-243.0,-234.0,-187.0,-231.0,-114.0,-136.0,-194.0,-290.0,-317.0,-523.0,-515.0,-1159.0,-2262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,56,31,24,25,41,17,11,4,0,2,-8,-6,-4,-4,-1,0,8,-29,-14.0,-8.0,-20.0,-14.0,-41.0,-42.0,-38.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,34,42,33,40,25,28,17,35,22,29,20,44,28,36,32,32,44,44,44,64.0,28.0,42.0,24.0,41.0,36.0,41.0,30.0,33.0,-3.0,2.0,0.0,-4.0,-14.0,8.0,-36.0,-11.0,-136.0,-147.0,-197.0,-190.0,-254.0,-223.0,-247.0,-228.0,-257.0,-215.0,-237.0,-239.0,-238.0,-232.0,-225.0,-231.0,-245.0,-185.0,-202.0,-194.0,-331.0,-255.0,-333.0,-329.0,-496.0,-365.0,-321.0,-376.0,-393.0,-378.0,-310.0,-299.0,-359.0,-353.0,-419.0,-393.0,-448.0,-493.0,-519.0,-254.0,-293.0,-221.0,-305.0,-319.0,-384.0,-387.0,-346.0,-343.0,-519.0,-471.0,-661.0,-747.0,-869.0,-863.0,-883.0,-791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20,42,38,54,29,34,-15,-6,-3,12,58,64,22,36,37,34,28,44,37,50.0,40.0,56.0,52.0,54.0,31.0,53.0,8.0,36.0,-21.0,12.0,0.0,25.0,38.0,15.0,43.0,118.0,150.0,188.0,115.0,195.0,176.0,189.0,231.0,218.0,247.0,234.0,252.0,312.0,345.0,305.0,319.0,344.0,318.0,327.0,336.0,374.0,365.0,351.0,377.0,657.0,685.0,874.0,881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,25,49,37,49,5,26,0,9,-1,-2,5,7,15,33,1,19,23,16,21,58.0,35.0,60.0,51.0,62.0,12.0,48.0,8.0,42.0,12.0,20.0,23.0,17.0,-6.0,0.0,0.0,-39.0,-12.0,-3.0,-10.0,-16.0,-5.0,0.0,-14.0,-9.0,-25.0,-39.0,-40.0,-22.0,-41.0,-26.0,-29.0,-25.0,-32.0,-16.0,-31.0,-15.0,-25.0,-17.0,-18.0,-23.0,-15.0,-22.0,-16.0,-7.0,-7.0,-11.0,-21.0,-18.0,-30.0,-33.0,-40.0,-22.0,-51.0,-47.0,-27.0,-33.0,-49.0,-59.0,-64.0,-20.0,-22.0,0.0,-22.0,-26.0,-25.0,-23.0,-35.0,-21.0,-30.0,-21.0,-20.0,-21.0,-32.0,-11.0,-10.0,-10.0,-6.0,-3.0,-10.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,24,39,32,48,37,58,56,61,55,49,51,53,5,13,10,40,28,46,29,31.0,25.0,22.0,29.0,45.0,31.0,27.0,8.0,23.0,10.0,27.0,-5.0,-7.0,-27.0,16.0,-9.0,14.0,0.0,70.0,22.0,157.0,75.0,187.0,108.0,187.0,558.0,672.0,666.0,736.0,673.0,675.0,691.0,713.0,568.0,650.0,625.0,685.0,715.0,723.0,751.0,728.0,552.0,579.0,572.0,660.0,674.0,667.0,660.0,657.0,661.0,678.0,684.0,691.0,684.0,704.0,689.0,731.0,733.0,765.0,781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,28,46,25,56,62,62,67,67,58,62,61,76,50,48,51,49,49,52,43,42.0,58.0,60.0,50.0,53.0,39.0,47.0,43.0,48.0,27.0,36.0,26.0,26.0,11.0,25.0,12.0,22.0,37.0,0.0,-46.0,15.0,2.0,48.0,0.0,0.0,0.0,39.0,70.0,92.0,68.0,112.0,116.0,85.0,75.0,71.0,30.0,33.0,40.0,51.0,38.0,41.0,48.0,32.0,41.0,44.0,15.0,15.0,12.0,14.0,2.0,194.0,153.0,188.0,245.0,330.0,280.0,275.0,330.0,362.0,210.0,471.0,409.0,466.0,465.0,563.0,592.0,600.0,607.0,600.0,664.0,750.0,759.0,745.0,748.0,752.0,761.0,745.0,744.0,744.0,744.0,753.0,752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6,39,37,45,58,50,38,65,34,60,29,76,41,52,50,83,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,33,25,26,58,32,23,29,46,49,50,23,27,45,50,48,24,31,30,17,33.0,19.0,13.0,38.0,50.0,26.0,38.0,16.0,16.0,-7.0,-21.0,-38.0,7.0,-4.0,0.0,18.0,12.0,15.0,54.0,20.0,31.0,31.0,22.0,0.0,30.0,22.0,20.0,3.0,19.0,6.0,10.0,12.0,7.0,20.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,26,38,38,60,62,43,31,32,27,34,40,37,27,50,39,27,28,31,46,34.0,26.0,29.0,25.0,33.0,22.0,53.0,21.0,35.0,25.0,44.0,32.0,43.0,70.0,60.0,35.0,37.0,29.0,57.0,50.0,40.0,-5.0,0.0,-15.0,-7.0,4.0,36.0,0.0,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,-6.0,-9.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,14,40,7,51,31,41,27,30,6,37,45,35,35,57,25,77,83,87,47,106.0,89.0,123.0,87.0,120.0,132.0,169.0,125.0,138.0,130.0,256.0,243.0,260.0,257.0,243.0,238.0,364.0,351.0,349.0,395.0,376.0,463.0,511.0,508.0,510.0,374.0,446.0,468.0,399.0,377.0,382.0,444.0,462.0,426.0,458.0,485.0,466.0,474.0,495.0,547.0,555.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,18,35,27,46,9,12,14,18,15,8,20,21,23,27,23,25,19,31,8,37.0,-12.0,25.0,-2.0,20.0,8.0,0.0,0.0,-1.0,-18.0,0.0,-20.0,1.0,-6.0,1.0,-4.0,-3.0,-6.0,1.0,0.0,8.0,11.0,4.0,9.0,5.0,4.0,20.0,33.0,21.0,21.0,22.0,25.0,40.0,28.0,26.0,19.0,47.0,24.0,29.0,31.0,27.0,29.0,23.0,25.0,11.0,7.0,7.0,5.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,24,54,49,61,64,52,49,65,19,20,8,20,20,12,12,24,20,44,33,37.0,7.0,29.0,41.0,50.0,14.0,28.0,12.0,35.0,11.0,12.0,22.0,47.0,24.0,22.0,20.0,19.0,15.0,33.0,15.0,12.0,-22.0,2.0,-15.0,0.0,-22.0,8.0,0.0,0.0,-10.0,0.0,-11.0,-5.0,-13.0,-2.0,0.0,0.0,0.0,9.0,-7.0,0.0,-14.0,-7.0,-10.0,-23.0,-35.0,-28.0,-68.0,-43.0,-29.0,-35.0,-60.0,-12.0,-25.0,-25.0,-37.0,-29.0,-90.0,-84.0,-145.0,-133.0,-155.0,-95.0,-112.0,-93.0,-158.0,-131.0,-146.0,-84.0,-98.0,-71.0,-87.0,-44.0,-93.0,-34.0,-25.0,-25.0,-45.0,-15.0,-22.0,-13.0,-17.0,-21.0,-45.0,-53.0,-60.0,0.0,-93.0,-155.0,-172.0,-183.0,-136.0,-139.0,-153.0,-99.0,-92.0,-96.0,-169.0,-157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,41,10,42,26,60,41,62,57,51,59,83,50,59,50,48,68,56,51,91.0,55.0,115.0,101.0,140.0,70.0,182.0,115.0,116.0,75.0,124.0,87.0,103.0,100.0,139.0,98.0,133.0,121.0,138.0,128.0,137.0,100.0,106.0,25.0,52.0,53.0,63.0,57.0,77.0,55.0,73.0,57.0,86.0,44.0,48.0,31.0,70.0,42.0,70.0,70.0,68.0,61.0,71.0,63.0,67.0,53.0,59.0,62.0,51.0,50.0,57.0,61.0,54.0,17.0,38.0,45.0,48.0,37.0,36.0,32.0,45.0,36.0,35.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,29,39,26,31,0,39,17,26,17,23,15,15,22,37,23,49,45,58,40,75.0,38.0,75.0,82.0,56.0,10.0,48.0,20.0,106.0,83.0,91.0,65.0,56.0,55.0,75.0,124.0,260.0,262.0,241.0,285.0,281.0,245.0,240.0,281.0,287.0,304.0,279.0,202.0,326.0,358.0,483.0,490.0,489.0,501.0,527.0,516.0,487.0,509.0,516.0,507.0,537.0,499.0,511.0,522.0,555.0,525.0,651.0,671.0,685.0,685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
