,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
0,3.0,10.0,6.0,23.0,15.0,10.0,62.0,6.0,0.0,21.0,61.0,34.0,0.0,7.0,0.0,16.0,19.0,14.0,47.0,0.0,0.0,10.0,0.0,33.0,12.0,38.0,0.0,3.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21.0,14.0,23.0,8.0,3.0,12.0,12.0,1.0,32.0,0.0,71.0,0.0,0.0,0.0,0.0,179.0,61.0,57.0,23.0,49.0,0.0,246.0,99.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.0,14.0,23.0,24.0,12.0,9.0,0.0,37.0,11.0,13.0,13.0,3.0,1.0,16.0,34.0,52.0,0.0,72.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.0,0.0,6.0,7.0,33.0,35.0,12.0,28.0,0.0,4.0,0.0,18.0,2.0,11.0,34.0,12.0,0.0,0.0,0.0,5.0,9.0,37.0,3.0,16.0,11.0,8.0,6.0,14.0,1.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14.0,17.0,2.0,21.0,0.0,0.0,34.0,0.0,2.0,83.0,10.0,30.0,11.0,0.0,37.0,38.0,6.0,11.0,0.0,0.0,17.0,0.0,12.0,19.0,7.0,0.0,84.0,54.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,16.0,0.0,0.0,4.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,9.0,6.0,26.0,0.0,8.0,0.0,65.0,0.0,99.0,13.0,17.0,25.0,13.0,15.0,20.0,12.0,36.0,0.0,33.0,0.0,87.0,0.0,3.0,13.0,7.0,1.0,2.0,8.0,27.0,48.0,6.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,4.0,19.0,7.0,22.0,14.0,85.0,0.0,58.0,30.0,0.0,42.0,70.0,28.0,21.0,35.0,22.0,71.0,1.0,20.0,13.0,3.0,10.0,24.0,0.0,6.0,143.0,13.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,33.0,27.0,18.0,9.0,11.0,9.0,10.0,69.0,21.0,0.0,130.0,2.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,16.0,27.0,2.0,29.0,3.0,22.0,44.0,3.0,53.0,38.0,57.0,5.0,9.0,0.0,63.0,0.0,0.0,11.0,45.0,0.0,0.0,23.0,16.0,7.0,0.0,9.0,0.0,0.0,98.0,0.0,0.0,0.0,70.0,0.0,0.0,17.0,0.0,18.0,0.0,15.0,43.0,85.0,0.0,132.0,0.0,142.0,94.0,0.0,27.0,31.0,0.0,176.0,16.0,202.0,0.0,58.0,57.0,27.0,110.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,25.0,0.0,14.0,5.0,8.0,0.0,18.0,34.0,7.0,0.0,0.0,41.0,15.0,17.0,16.0,12.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15.0,34.0,0.0,14.0,16.0,7.0,3.0,1.0,17.0,35.0,0.0,17.0,25.0,0.0,0.0,147.0,48.0,0.0,80.0,1.0,53.0,116.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7.0,1.0,29.0,1.0,54.0,30.0,48.0,0.0,0.0,7.0,45.0,50.0,0.0,18.0,0.0,21.0,12.0,26.0,0.0,0.0,32.0,61.0,35.0,185.0,14.0,0.0,106.0,2.0,38.0,19.0,0.0,0.0,46.0,17.0,0.0,21.0,23.0,47.0,0.0,46.0,0.0,0.0,53.0,41.0,36.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,32.0,0.0,15.0,0.0,35.0,2.0,13.0,54.0,7.0,92.0,76.0,0.0,15.0,27.0,2.0,0.0,14.0,4.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25.0,36.0,18.0,11.0,0.0,4.0,0.0,0.0,11.0,15.0,12.0,7.0,0.0,21.0,0.0,0.0,5.0,0.0,25.0,0.0,15.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17.0,15.0,20.0,34.0,24.0,14.0,12.0,27.0,11.0,35.0,52.0,0.0,22.0,7.0,5.0,3.0,16.0,31.0,0.0,23.0,0.0,14.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,21.0,0.0,1.0,3.0,55.0,0.0,15.0,53.0,28.0,95.0,32.0,62.0,0.0,0.0,12.0,11.0,2.0,11.0,18.0,2.0,114.0,234.0,42.0,139.0,38.0,46.0,148.0,228.0,0.0,6.0,0.0,49.0,16.0,157.0,69.0,3.0,0.0,0.0,15.0,86.0,0.0,45.0,0.0,22.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8.0,16.0,14.0,0.0,19.0,8.0,174.0,0.0,62.0,23.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,7.0,0.0,71.0,89.0,21.0,7.0,9.0,9.0,20.0,0.0,6.0,3.0,16.0,19.0,90.0,55.0,48.0,7.0,58.0,15.0,18.0,86.0,28.0,38.0,104.0,4.0,31.0,12.0,6.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9.0,5.0,14.0,10.0,20.0,31.0,0.0,37.0,23.0,17.0,22.0,3.0,19.0,8.0,13.0,10.0,4.0,32.0,5.0,30.0,21.0,0.0,29.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16.0,19.0,6.0,19.0,3.0,6.0,8.0,0.0,35.0,19.0,13.0,16.0,17.0,5.0,25.0,13.0,58.0,36.0,0.0,24.0,51.0,24.0,0.0,19.0,0.0,0.0,49.0,2.0,28.0,13.0,0.0,197.0,54.0,0.0,0.0,9.0,26.0,12.0,19.0,0.0,0.0,40.0,0.0,7.0,28.0,8.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6.0,3.0,10.0,29.0,0.0,15.0,1.0,0.0,12.0,23.0,0.0,27.0,41.0,117.0,14.0,0.0,14.0,9.0,45.0,4.0,111.0,56.0,27.0,70.0,50.0,26.0,25.0,23.0,0.0,110.0,0.0,9.0,46.0,100.0,159.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6.0,8.0,8.0,16.0,0.0,15.0,9.0,15.0,9.0,0.0,0.0,3.0,5.0,12.0,16.0,10.0,1.0,30.0,1.0,52.0,90.0,46.0,35.0,4.0,61.0,7.0,33.0,6.0,0.0,0.0,0.0,84.0,9.0,1.0,17.0,4.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,29.0,0.0,14.0,23.0,5.0,20.0,6.0,4.0,19.0,1.0,25.0,44.0,12.0,6.0,63.0,6.0,62.0,21.0,21.0,17.0,28.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,6.0,56.0,57.0,29.0,0.0,0.0,6.0,25.0,19.0,0.0,25.0,48.0,10.0,1.0,54.0,382.0,55.0,252.0,30.0,11.0,220.0,10.0,18.0,4.0,0.0,1.0,6.0,0.0,0.0,0.0,684.0,1.0,1.0,48.0,1.0,63.0,0.0,0.0,47.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8.0,4.0,3.0,2.0,7.0,3.0,0.0,0.0,65.0,7.0,85.0,21.0,87.0,70.0,17.0,0.0,0.0,0.0,114.0,33.0,42.0,15.0,0.0,0.0,0.0,20.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,5.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,19.0,7.0,6.0,10.0,2.0,17.0,7.0,8.0,23.0,29.0,26.0,9.0,14.0,32.0,15.0,4.0,24.0,23.0,9.0,30.0,6.0,12.0,11.0,22.0,0.0,85.0,162.0,225.0,0.0,11.0,9.0,164.0,10.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,19.0,637.0,45.0,1.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,51.0,25.0,6.0,5.0,0.0,0.0,29.0,24.0,61.0,0.0,7.0,29.0,40.0,0.0,0.0,134.0,3.0,1.0,27.0,0.0,64.0,38.0,141.0,0.0,80.0,31.0,44.0,24.0,0.0,0.0,135.0,20.0,25.0,40.0,1000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,18.0,0.0,6.0,31.0,4.0,0.0,26.0,0.0,43.0,21.0,46.0,0.0,71.0,62.0,11.0,73.0,9.0,0.0,0.0,14.0,0.0,0.0,4.0,42.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,17.0,0.0,0.0,0.0,17.0,1.0,0.0,8.0,31.0,0.0,4.0,56.0,92.0,0.0,26.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,76.0,0.0,84.0,6.0,106.0,0.0,6.0,137.0,98.0,0.0,4.0,80.0,170.0,4.0,0.0,112.0,0.0,0.0,111.0,10.0,0.0,0.0,70.0,13.0,7.0,10.0,8.0,26.0,33.0,32.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,29.0,10.0,8.0,57.0,2.0,14.0,12.0,5.0,41.0,18.0,0.0,2.0,17.0,0.0,41.0,26.0,56.0,67.0,24.0,98.0,97.0,9.0,136.0,376.0,28.0,0.0,17.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,22.0,18.0,20.0,0.0,25.0,0.0,8.0,6.0,41.0,61.0,14.0,26.0,12.0,14.0,0.0,0.0,22.0,11.0,36.0,25.0,91.0,0.0,46.0,0.0,32.0,123.0,2.0,0.0,10.0,0.0,107.0,0.0,2.0,34.0,16.0,16.0,14.0,59.0,0.0,21.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,13.0,13.0,26.0,0.0,0.0,26.0,14.0,15.0,31.0,26.0,53.0,20.0,49.0,4.0,49.0,16.0,55.0,12.0,103.0,3.0,16.0,0.0,67.0,52.0,0.0,7.0,0.0,84.0,35.0,0.0,21.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,11.0,16.0,10.0,0.0,12.0,20.0,0.0,19.0,7.0,4.0,42.0,9.0,17.0,15.0,0.0,12.0,9.0,24.0,13.0,79.0,1.0,29.0,18.0,0.0,0.0,9.0,0.0,7.0,28.0,0.0,35.0,70.0,2.0,74.0,0.0,48.0,0.0,100.0,0.0,0.0,26.0,22.0,0.0,0.0,0.0,73.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,28.0,1.0,17.0,14.0,0.0,10.0,0.0,27.0,62.0,0.0,28.0,77.0,3.0,0.0,9.0,29.0,33.0,0.0,74.0,16.0,1.0,25.0,0.0,58.0,23.0,10.0,11.0,0.0,46.0,23.0,0.0,6.0,0.0,0.0,3.0,19.0,25.0,0.0,60.0,0.0,0.0,47.0,21.0,0.0,18.0,0.0,1.0,26.0,0.0,9.0,5.0,18.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,46.0,1.0,0.0,0.0,14.0,8.0,3.0,9.0,0.0,16.0,22.0,7.0,0.0,35.0,0.0,0.0,6.0,1.0,2.0,28.0,6.0,6.0,0.0,7.0,19.0,9.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,34.0,12.0,4.0,1.0,0.0,3.0,19.0,14.0,4.0,35.0,0.0,0.0,8.0,0.0,62.0,8.0,0.0,15.0,13.0,25.0,0.0,0.0,4.0,0.0,2.0,106.0,53.0,35.0,5.0,0.0,37.0,0.0,16.0,10.0,39.0,95.0,147.0,191.0,0.0,75.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,44.0,3.0,5.0,13.0,17.0,32.0,45.0,1.0,17.0,20.0,12.0,52.0,45.0,49.0,0.0,74.0,0.0,87.0,21.0,382.0,20.0,0.0,0.0,137.0,69.0,59.0,25.0,0.0,0.0,153.0,0.0,36.0,525.0,32.0,0.0,0.0,0.0,337.0,0.0,40.0,208.0,0.0,1000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7.0,1.0,31.0,0.0,49.0,23.0,1.0,9.0,24.0,54.0,8.0,56.0,4.0,9.0,0.0,37.0,29.0,9.0,13.0,34.0,31.0,42.0,21.0,25.0,6.0,33.0,107.0,75.0,1.0,2.0,25.0,5.0,0.0,16.0,0.0,0.0,51.0,9.0,5.0,0.0,92.0,0.0,34.0,25.0,0.0,7.0,0.0,33.0,3.0,0.0,0.0,14.0,27.0,30.0,4.0,21.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,441.0,26.0,37.0,14.0,0.0,40.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,18.0,17.0,10.0,34.0,29.0,26.0,52.0,17.0,6.0,4.0,15.0,0.0,49.0,31.0,17.0,9.0,80.0,0.0,12.0,98.0,0.0,0.0,157.0,229.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0,2.0,6.0,4.0,5.0,4.0,24.0,21.0,33.0,1.0,5.0,10.0,16.0,93.0,13.0,15.0,5.0,25.0,82.0,0.0,13.0,12.0,42.0,10.0,144.0,26.0,188.0,0.0,8.0,39.0,34.0,39.0,0.0,194.0,116.0,35.0,18.0,202.0,0.0,0.0,0.0,295.0,0.0,96.0,3.0,3.0,0.0,0.0,10.0,190.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,26.0,17.0,39.0,0.0,17.0,15.0,8.0,3.0,0.0,0.0,25.0,0.0,32.0,14.0,0.0,23.0,11.0,4.0,61.0,0.0,67.0,60.0,88.0,0.0,66.0,0.0,4.0,8.0,6.0,36.0,7.0,34.0,2.0,39.0,12.0,9.0,24.0,20.0,50.0,28.0,15.0,0.0,22.0,24.0,0.0,0.0,588.0,15.0,21.0,430.0,0.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,39.0,0.0,51.0,63.0,20.0,0.0,9.0,23.0,18.0,0.0,14.0,96.0,25.0,2.0,25.0,15.0,0.0,15.0,2.0,2.0,15.0,19.0,26.0,37.0,39.0,0.0,26.0,0.0,29.0,13.0,121.0,17.0,3.0,27.0,113.0,34.0,37.0,0.0,54.0,0.0,121.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3.0,9.0,8.0,35.0,13.0,16.0,10.0,3.0,1.0,0.0,14.0,0.0,39.0,23.0,25.0,42.0,52.0,17.0,22.0,28.0,40.0,12.0,145.0,112.0,95.0,4.0,3.0,0.0,61.0,0.0,0.0,0.0,9.0,68.0,0.0,15.0,0.0,0.0,344.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,13.0,1.0,58.0,26.0,8.0,0.0,2.0,16.0,14.0,12.0,6.0,0.0,4.0,27.0,15.0,41.0,22.0,0.0,22.0,19.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,14.0,1.0,0.0,38.0,0.0,12.0,19.0,14.0,9.0,19.0,26.0,0.0,11.0,42.0,7.0,27.0,37.0,0.0,24.0,6.0,5.0,25.0,45.0,0.0,49.0,35.0,4.0,22.0,16.0,11.0,56.0,27.0,23.0,12.0,0.0,0.0,10.0,0.0,0.0,49.0,0.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,19.0,10.0,10.0,25.0,1.0,12.0,7.0,25.0,0.0,19.0,53.0,50.0,12.0,0.0,0.0,16.0,0.0,29.0,15.0,9.0,0.0,35.0,19.0,4.0,0.0,43.0,0.0,133.0,1.0,26.0,9.0,35.0,46.0,0.0,362.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0,22.0,22.0,4.0,27.0,20.0,10.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,71.0,17.0,4.0,23.0,16.0,21.0,2.0,18.0,0.0,29.0,8.0,28.0,23.0,18.0,32.0,40.0,39.0,54.0,42.0,0.0,60.0,99.0,3.0,0.0,0.0,64.0,0.0,21.0,5.0,9.0,0.0,117.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,16.0,0.0,38.0,21.0,6.0,18.0,15.0,32.0,6.0,115.0,13.0,57.0,1.0,0.0,16.0,23.0,45.0,10.0,4.0,27.0,6.0,72.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,14.0,0.0,3.0,17.0,39.0,0.0,9.0,16.0,0.0,17.0,91.0,0.0,94.0,30.0,55.0,117.0,74.0,3.0,23.0,0.0,5.0,4.0,41.0,8.0,8.0,54.0,37.0,149.0,63.0,39.0,152.0,556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,15.0,0.0,11.0,5.0,7.0,0.0,2.0,18.0,0.0,12.0,5.0,0.0,44.0,33.0,0.0,0.0,8.0,0.0,63.0,0.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,231.0,0.0,0.0,12.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,24.0,32.0,0.0,22.0,0.0,33.0,0.0,7.0,21.0,20.0,0.0,0.0,77.0,154.0,0.0,60.0,8.0,28.0,13.0,119.0,64.0,0.0,0.0,30.0,28.0,9.0,104.0,51.0,131.0,0.0,51.0,0.0,4.0,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,28.0,0.0,12.0,0.0,13.0,0.0,61.0,55.0,39.0,11.0,0.0,13.0,7.0,17.0,38.0,53.0,48.0,22.0,8.0,8.0,0.0,18.0,0.0,2.0,0.0,5.0,8.0,12.0,93.0,0.0,0.0,0.0,58.0,184.0,36.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,5.0,57.0,57.0,139.0,0.0,2.0,0.0,14.0,39.0,68.0,0.0,0.0,0.0,46.0,12.0,63.0,195.0,111.0,41.0,109.0,0.0,1.0,0.0,0.0,0.0,29.0,102.0,1.0,152.0,0.0,25.0,85.0,0.0,0.0,10.0,4.0,4.0,0.0,6.0,38.0,0.0,150.0,32.0,36.0,0.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,30.0,0.0,47.0,9.0,12.0,133.0,48.0,19.0,33.0,95.0,16.0,19.0,48.0,0.0,15.0,0.0,35.0,52.0,32.0,37.0,3.0,122.0,29.0,102.0,29.0,180.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
