,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
32,10.0,6.0,23.0,0.0,1.0,47.0,23.0,49.0,5.0,0.0,2.0,16.0,55.0,64.0,57.0,7.0,20.0,0.0,62.0,65.0,11.0,77.0,24.0,14.0,19.0,45.0,129.0,5.0,0.0,88.0,42.0,0.0,50.0,61.0,89.0,89.0,9.0,12.0,0.0,0.0,4.0,6.0,57.0,45.0,105.0,9.0,54.0,14.0,346.0,0.0,0.0,50.0,23.0,0.0,89.0,44.0,156.0,751.0,82.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,11.0,65.0,9.0,6.0,22.0,10.0,15.0,20.0,3.0,7.0,40.0,51.0,23.0,39.0,19.0,46.0,1.0,44.0,32.0,208.0,60.0,82.0,0.0,0.0,0.0,4.0,34.0,2.0,0.0,5.0,0.0,137.0,16.0,56.0,63.0,10.0,0.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,33.0,27.0,4.0,3.0,20.0,64.0,1.0,42.0,23.0,28.0,72.0,68.0,34.0,29.0,0.0,6.0,0.0,1.0,98.0,14.0,36.0,67.0,25.0,53.0,30.0,39.0,0.0,101.0,38.0,72.0,17.0,0.0,3.0,185.0,0.0,0.0,88.0,127.0,0.0,55.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,18.0,26.0,3.0,12.0,15.0,5.0,8.0,22.0,16.0,0.0,2.0,32.0,24.0,5.0,13.0,52.0,36.0,0.0,77.0,30.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0,4.0,0.0,0.0,22.0,6.0,3.0,0.0,8.0,20.0,0.0,3.0,40.0,3.0,3.0,16.0,7.0,0.0,0.0,57.0,0.0,30.0,0.0,60.0,21.0,0.0,17.0,6.0,114.0,0.0,58.0,14.0,99.0,0.0,51.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,53.0,116.0,14.0,109.0,115.0,116.0,162.0,80.0,266.0,52.0,21.0,15.0,330.0,29.0,48.0,0.0,1.0,7.0,6.0,19.0,12.0,3.0,6.0,7.0,6.0,6.0,0.0,12.0,1.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,6.0,5.0,4.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,57.0,0.0,0.0,1000.0,0.0,0.0
37,22.0,21.0,56.0,15.0,2.0,8.0,5.0,22.0,21.0,14.0,30.0,45.0,85.0,34.0,34.0,108.0,91.0,0.0,232.0,172.0,99.0,0.0,149.0,210.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9.0,16.0,29.0,23.0,2.0,0.0,30.0,0.0,53.0,6.0,20.0,0.0,83.0,8.0,8.0,36.0,0.0,0.0,96.0,0.0,6.0,74.0,50.0,161.0,19.0,100.0,115.0,5.0,21.0,12.0,0.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0,23.0,2.0,26.0,31.0,15.0,0.0,73.0,28.0,13.0,0.0,28.0,0.0,137.0,7.0,19.0,8.0,0.0,35.0,17.0,32.0,0.0,47.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,53.0,34.0,0.0,78.0,11.0,8.0,0.0,120.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,42.0,0.0,0.0,56.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,13.0,0.0,20.0,2.0,9.0,1.0,0.0,28.0,13.0,0.0,22.0,14.0,30.0,0.0,40.0,3.0,6.0,0.0,28.0,56.0,29.0,16.0,2.0,0.0,40.0,7.0,12.0,0.0,0.0,10.0,0.0,0.0,10.0,61.0,20.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,8.0,10.0,10.0,0.0,10.0,79.0,32.0,11.0,22.0,114.0,26.0,29.0,0.0,33.0,24.0,27.0,96.0,45.0,25.0,14.0,29.0,3.0,46.0,58.0,56.0,19.0,240.0,0.0,16.0,0.0,46.0,76.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,26.0,5.0,25.0,24.0,26.0,30.0,19.0,0.0,144.0,15.0,28.0,16.0,52.0,55.0,0.0,42.0,0.0,0.0,73.0,0.0,2.0,9.0,3.0,34.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0,5.0,30.0,28.0,26.0,11.0,25.0,50.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,55.0,0.0,40.0,6.0,0.0,0.0,0.0,28.0,20.0,19.0,3.0,24.0,8.0,0.0,3.0,16.0,4.0,0.0,0.0,0.0,7.0,5.0,3.0,5.0,3.0,0.0,3.0,9.0,0.0,0.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,10.0,4.0,42.0,12.0,8.0,19.0,7.0,0.0,16.0,16.0,12.0,50.0,39.0,13.0,14.0,5.0,69.0,12.0,58.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,15.0,26.0,20.0,14.0,0.0,0.0,12.0,15.0,21.0,7.0,11.0,0.0,36.0,14.0,40.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5.0,33.0,10.0,63.0,25.0,7.0,0.0,0.0,13.0,14.0,30.0,11.0,5.0,15.0,50.0,23.0,179.0,21.0,0.0,69.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5.0,0.0,9.0,0.0,0.0,8.0,0.0,33.0,111.0,15.0,20.0,16.0,0.0,0.0,33.0,96.0,0.0,74.0,31.0,0.0,0.0,0.0,149.0,27.0,35.0,33.0,29.0,26.0,174.0,11.0,49.0,81.0,101.0,33.0,5.0,789.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,42.0,20.0,15.0,6.0,8.0,17.0,11.0,3.0,13.0,16.0,4.0,18.0,16.0,20.0,0.0,35.0,5.0,10.0,26.0,6.0,44.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,11.0,9.0,14.0,24.0,8.0,0.0,10.0,18.0,7.0,0.0,30.0,32.0,24.0,0.0,31.0,7.0,57.0,66.0,33.0,42.0,0.0,11.0,8.0,138.0,9.0,11.0,17.0,3.0,45.0,0.0,14.0,106.0,76.0,0.0,15.0,0.0,10.0,107.0,0.0,0.0,33.0,0.0,21.0,0.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.0,5.0,0.0,0.0,1.0,0.0,6.0,20.0,16.0,18.0,0.0,6.0,27.0,3.0,0.0,20.0,47.0,1.0,49.0,0.0,0.0,0.0,40.0,11.0,0.0,56.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.0,14.0,15.0,23.0,10.0,0.0,5.0,9.0,12.0,55.0,23.0,9.0,57.0,22.0,31.0,0.0,0.0,76.0,11.0,32.0,14.0,22.0,55.0,54.0,1.0,22.0,22.0,21.0,0.0,27.0,40.0,60.0,98.0,9.0,72.0,0.0,77.0,0.0,39.0,0.0,17.0,0.0,56.0,50.0,85.0,37.0,68.0,9.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,32.0,104.0,44.0,0.0,50.0,8.0,89.0,402.0,558.0,9.0,563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0,15.0,11.0,67.0,0.0,0.0,3.0,13.0,0.0,0.0,12.0,5.0,27.0,14.0,19.0,56.0,46.0,2.0,18.0,52.0,75.0,6.0,7.0,81.0,68.0,29.0,37.0,116.0,2.0,19.0,5.0,58.0,7.0,47.0,0.0,18.0,0.0,193.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,39.0,3.0,16.0,21.0,0.0,6.0,49.0,30.0,21.0,64.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,16.0,0.0,13.0,19.0,18.0,15.0,38.0,48.0,16.0,9.0,34.0,21.0,36.0,0.0,12.0,62.0,0.0,25.0,0.0,0.0,9.0,20.0,0.0,3.0,0.0,8.0,0.0,6.0,0.0,0.0,77.0,4.0,2.0,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,25.0,13.0,11.0,16.0,8.0,0.0,0.0,2.0,12.0,32.0,35.0,5.0,20.0,28.0,3.0,45.0,18.0,0.0,4.0,0.0,30.0,34.0,74.0,0.0,6.0,18.0,31.0,52.0,38.0,18.0,42.0,39.0,18.0,0.0,0.0,0.0,0.0,6.0,21.0,122.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,19.0,20.0,0.0,7.0,8.0,34.0,41.0,0.0,14.0,47.0,21.0,6.0,4.0,7.0,0.0,0.0,16.0,6.0,0.0,23.0,12.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4.0,14.0,0.0,0.0,14.0,1.0,4.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,11.0,57.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,15.0,13.0,17.0,2.0,9.0,14.0,33.0,5.0,16.0,3.0,17.0,7.0,0.0,1.0,0.0,19.0,0.0,5.0,31.0,23.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,8.0,0.0,1.0,0.0,5.0,15.0,15.0,28.0,0.0,43.0,12.0,0.0,6.0,19.0,27.0,0.0,0.0,6.0,30.0,0.0,20.0,22.0,33.0,25.0,20.0,6.0,155.0,85.0,182.0,154.0,25.0,87.0,0.0,320.0,356.0,0.0,31.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,11.0,23.0,35.0,14.0,11.0,0.0,22.0,62.0,3.0,41.0,36.0,55.0,5.0,3.0,105.0,0.0,134.0,108.0,11.0,15.0,0.0,38.0,11.0,1.0,37.0,39.0,6.0,15.0,65.0,3.0,39.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,10.0,45.0,21.0,0.0,0.0,0.0,37.0,25.0,11.0,5.0,9.0,3.0,7.0,15.0,0.0,2.0,4.0,20.0,5.0,21.0,0.0,0.0,16.0,0.0,14.0,13.0,5.0,4.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.0,28.0,0.0,10.0,28.0,2.0,8.0,1.0,35.0,0.0,50.0,22.0,18.0,58.0,1.0,13.0,55.0,0.0,47.0,0.0,32.0,31.0,32.0,99.0,20.0,22.0,97.0,21.0,64.0,0.0,191.0,51.0,14.0,15.0,11.0,165.0,0.0,93.0,0.0,49.0,0.0,31.0,0.0,9.0,0.0,1.0,0.0,135.0,3.0,0.0,39.0,50.0,0.0,164.0,0.0,0.0,0.0,2.0,0.0,82.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,60.0,6.0,27.0,22.0,38.0,0.0,3.0,0.0,6.0,16.0,22.0,8.0,12.0,54.0,59.0,0.0,0.0,33.0,8.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6.0,52.0,33.0,0.0,0.0,4.0,18.0,12.0,0.0,13.0,0.0,5.0,0.0,5.0,8.0,0.0,26.0,13.0,29.0,8.0,0.0,0.0,8.0,0.0,5.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,9.0,12.0,25.0,0.0,6.0,0.0,2.0,13.0,0.0,11.0,21.0,26.0,11.0,67.0,0.0,16.0,0.0,25.0,7.0,5.0,24.0,20.0,0.0,10.0,22.0,3.0,86.0,0.0,35.0,53.0,0.0,0.0,0.0,0.0,518.0,3.0,0.0,50.0,93.0,62.0,8.0,0.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
