,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0,18.0,0.0,16.0,0.0,0.0,16.0,20.0,19.0,28.0,26.0,41.0,36.0,25.0,59.0,0.0,0.0,0.0,0.0,0.0,40.0,21.0,4.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28.0,17.0,5.0,0.0,10.0,3.0,0.0,3.0,0.0,0.0,16.0,12.0,12.0,9.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,21.0,16.0,11.0,11.0,10.0,0.0,0.0,0.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14.0,0.0,0.0,18.0,14.0,3.0,33.0,20.0,39.0,0.0,15.0,0.0,0.0,0.0,75.0,17.0,0.0,141.0,28.0,31.0,0.0,6.0,42.0,9.0,0.0,33.0,31.0,0.0,0.0,2.0,0.0,356.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,21.0,26.0,22.0,41.0,46.0,3.0,11.0,0.0,0.0,22.0,11.0,37.0,37.0,14.0,30.0,17.0,0.0,50.0,33.0,110.0,30.0,40.0,32.0,7.0,7.0,0.0,0.0,36.0,1.0,0.0,32.0,118.0,64.0,35.0,0.0,7.0,1.0,33.0,23.0,0.0,32.0,0.0,56.0,0.0,3.0,52.0,39.0,0.0,8.0,0.0,0.0,83.0,0.0,0.0,44.0,25.0,2.0,19.0,12.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,
4,12.0,20.0,5.0,13.0,21.0,9.0,14.0,17.0,14.0,17.0,11.0,19.0,15.0,14.0,0.0,14.0,17.0,51.0,0.0,12.0,60.0,149.0,27.0,7.0,0.0,0.0,8.0,88.0,1.0,22.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,18.0,7.0,15.0,12.0,28.0,0.0,9.0,44.0,22.0,19.0,0.0,13.0,90.0,47.0,35.0,5.0,45.0,40.0,69.0,20.0,0.0,71.0,12.0,10.0,52.0,0.0,134.0,50.0,7.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,42.0,21.0,9.0,3.0,12.0,8.0,0.0,5.0,36.0,8.0,15.0,0.0,45.0,70.0,0.0,6.0,23.0,74.0,31.0,17.0,133.0,0.0,0.0,52.0,49.0,95.0,63.0,150.0,77.0,88.0,31.0,0.0,4.0,1.0,0.0,0.0,49.0,0.0,0.0,105.0,15.0,59.0,4.0,16.0,43.0,33.0,45.0,17.0,0.0,24.0,0.0,253.0,0.0,0.0,210.0,24.0,0.0,154.0,41.0,34.0,0.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,
7,13.0,35.0,22.0,7.0,21.0,0.0,15.0,28.0,0.0,0.0,79.0,41.0,10.0,5.0,11.0,0.0,9.0,0.0,10.0,10.0,22.0,17.0,0.0,6.0,1.0,0.0,23.0,0.0,0.0,0.0,13.0,0.0,7.0,0.0,0.0,18.0,0.0,11.0,0.0,17.0,0.0,0.0,0.0,0.0,7.0,45.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,21.0,0.0,8.0,35.0,19.0,10.0,5.0,7.0,11.0,0.0,7.0,1.0,29.0,0.0,99.0,91.0,80.0,0.0,65.0,0.0,62.0,40.0,168.0,67.0,0.0,9.0,8.0,58.0,35.0,11.0,64.0,0.0,15.0,0.0,14.0,44.0,0.0,0.0,71.0,0.0,56.0,0.0,0.0,14.0,61.0,20.0,0.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17.0,0.0,15.0,12.0,2.0,9.0,3.0,19.0,11.0,5.0,8.0,133.0,0.0,0.0,3.0,122.0,15.0,1.0,0.0,47.0,49.0,4.0,45.0,0.0,217.0,0.0,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,36.0,13.0,15.0,12.0,11.0,40.0,267.0,64.0,68.0,0.0,11.0,0.0,25.0,24.0,17.0,23.0,50.0,20.0,0.0,33.0,20.0,32.0,27.0,139.0,3.0,28.0,16.0,0.0,0.0,0.0,0.0,30.0,36.0,7.0,65.0,0.0,37.0,37.0,104.0,24.0,32.0,3.0,0.0,22.0,0.0,0.0,3.0,57.0,0.0,0.0,29.0,0.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4.0,0.0,16.0,4.0,0.0,5.0,27.0,16.0,3.0,30.0,13.0,4.0,4.0,26.0,8.0,1.0,19.0,38.0,10.0,92.0,64.0,97.0,0.0,0.0,61.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,32.0,35.0,8.0,11.0,15.0,6.0,64.0,0.0,87.0,29.0,33.0,83.0,0.0,9.0,38.0,0.0,39.0,7.0,0.0,29.0,0.0,29.0,2.0,16.0,17.0,37.0,20.0,12.0,3.0,5.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16.0,2.0,7.0,13.0,5.0,5.0,0.0,26.0,2.0,5.0,3.0,0.0,16.0,12.0,2.0,0.0,15.0,1.0,0.0,38.0,22.0,24.0,138.0,47.0,35.0,0.0,6.0,1.0,0.0,66.0,7.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,23.0,4.0,19.0,4.0,19.0,32.0,15.0,20.0,54.0,101.0,33.0,22.0,33.0,14.0,1.0,0.0,13.0,20.0,0.0,7.0,73.0,4.0,0.0,14.0,333.0,0.0,57.0,113.0,4.0,10.0,0.0,6.0,16.0,14.0,4.0,51.0,26.0,22.0,234.0,10.0,19.0,0.0,41.0,0.0,2.0,78.0,75.0,0.0,4.0,0.0,68.0,0.0,295.0,341.0,80.0,175.0,43.0,0.0,36.0,66.0,0.0,21.0,0.0,49.0,151.0,22.0,730.0,0.0,0.0,,,,,,,,,,,,,,,,,
15,18.0,23.0,32.0,12.0,10.0,29.0,36.0,29.0,2.0,18.0,0.0,12.0,34.0,29.0,14.0,32.0,48.0,7.0,64.0,0.0,9.0,13.0,80.0,22.0,23.0,0.0,3.0,25.0,0.0,19.0,61.0,8.0,0.0,105.0,14.0,51.0,19.0,39.0,33.0,17.0,7.0,0.0,5.0,70.0,0.0,0.0,0.0,0.0,205.0,651.0,51.0,88.0,53.0,0.0,2.0,0.0,27.0,0.0,53.0,24.0,148.0,50.0,83.0,62.0,234.0,25.0,0.0,285.0,57.0,18.0,205.0,152.0,92.0,36.0,122.0,0.0,1.0,741.0,12.0,,,,,,,
16,28.0,58.0,23.0,23.0,27.0,0.0,28.0,24.0,18.0,36.0,0.0,13.0,13.0,33.0,9.0,0.0,7.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,30.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18.0,0.0,14.0,0.0,4.0,0.0,23.0,37.0,19.0,22.0,22.0,0.0,29.0,103.0,13.0,14.0,4.0,42.0,184.0,94.0,25.0,15.0,8.0,21.0,0.0,0.0,15.0,18.0,1.0,19.0,24.0,13.0,16.0,9.0,9.0,31.0,40.0,4.0,0.0,0.0,0.0,38.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10.0,12.0,6.0,29.0,10.0,29.0,19.0,0.0,14.0,0.0,24.0,37.0,21.0,0.0,70.0,37.0,0.0,0.0,10.0,2.0,6.0,31.0,96.0,46.0,79.0,35.0,4.0,22.0,17.0,0.0,0.0,14.0,108.0,97.0,1.0,6.0,132.0,361.0,9.0,19.0,44.0,51.0,15.0,44.0,0.0,99.0,0.0,53.0,275.0,0.0,13.0,36.0,0.0,53.0,16.0,10.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,14.0,20.0,14.0,7.0,0.0,4.0,19.0,5.0,15.0,28.0,19.0,56.0,3.0,108.0,44.0,1.0,29.0,36.0,22.0,19.0,20.0,8.0,0.0,10.0,23.0,41.0,43.0,117.0,11.0,30.0,38.0,133.0,0.0,0.0,7.0,13.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,11.0,15.0,6.0,18.0,10.0,25.0,23.0,13.0,37.0,45.0,16.0,0.0,4.0,115.0,37.0,61.0,15.0,38.0,49.0,16.0,68.0,2.0,0.0,8.0,153.0,52.0,43.0,42.0,22.0,12.0,5.0,24.0,17.0,0.0,33.0,0.0,0.0,0.0,114.0,5.0,285.0,18.0,349.0,58.0,0.0,55.0,142.0,0.0,113.0,82.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,0.0,15.0,13.0,18.0,8.0,17.0,26.0,1.0,0.0,13.0,0.0,0.0,0.0,41.0,23.0,50.0,36.0,10.0,45.0,42.0,26.0,0.0,0.0,23.0,0.0,0.0,123.0,60.0,12.0,0.0,5.0,0.0,29.0,33.0,48.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,12.0,7.0,0.0,20.0,28.0,26.0,5.0,3.0,29.0,22.0,0.0,6.0,0.0,38.0,61.0,26.0,23.0,0.0,56.0,121.0,0.0,15.0,65.0,77.0,31.0,13.0,12.0,0.0,12.0,0.0,30.0,22.0,188.0,85.0,77.0,59.0,158.0,0.0,0.0,0.0,26.0,0.0,314.0,50.0,11.0,66.0,65.0,59.0,131.0,44.0,0.0,0.0,194.0,13.0,0.0,161.0,11.0,0.0,98.0,0.0,0.0,93.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
23,20.0,0.0,3.0,26.0,25.0,9.0,0.0,22.0,10.0,0.0,0.0,4.0,27.0,20.0,114.0,128.0,0.0,10.0,32.0,254.0,23.0,48.0,5.0,153.0,45.0,360.0,280.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,7.0,17.0,30.0,33.0,18.0,19.0,4.0,4.0,30.0,41.0,39.0,112.0,19.0,17.0,0.0,0.0,0.0,46.0,0.0,21.0,33.0,94.0,0.0,0.0,23.0,32.0,0.0,4.0,0.0,17.0,36.0,11.0,3.0,30.0,6.0,0.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,17.0,33.0,51.0,17.0,5.0,34.0,4.0,11.0,0.0,9.0,13.0,1.0,15.0,8.0,13.0,4.0,3.0,10.0,33.0,0.0,7.0,12.0,2.0,17.0,26.0,8.0,15.0,21.0,0.0,16.0,12.0,0.0,11.0,50.0,29.0,36.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,125.0,75.0,44.0,45.0,4.0,0.0,0.0,7.0,0.0,0.0,5.0,15.0,4.0,0.0,5.0,0.0,5.0,0.0,0.0,23.0,31.0,49.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
26,9.0,12.0,3.0,73.0,19.0,17.0,22.0,89.0,16.0,41.0,113.0,33.0,19.0,12.0,97.0,0.0,382.0,0.0,232.0,40.0,456.0,75.0,96.0,86.0,0.0,0.0,35.0,39.0,33.0,29.0,41.0,8.0,19.0,22.0,0.0,0.0,144.0,100.0,140.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5.0,3.0,26.0,12.0,25.0,9.0,12.0,0.0,14.0,22.0,15.0,0.0,37.0,6.0,26.0,7.0,12.0,0.0,0.0,5.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,12.0,19.0,28.0,0.0,25.0,0.0,0.0,19.0,0.0,29.0,50.0,26.0,17.0,17.0,18.0,22.0,2.0,40.0,108.0,0.0,405.0,0.0,10.0,33.0,7.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6.0,29.0,9.0,10.0,35.0,7.0,4.0,5.0,19.0,11.0,38.0,2.0,18.0,0.0,0.0,0.0,126.0,15.0,31.0,36.0,5.0,2.0,45.0,2.0,10.0,4.0,22.0,0.0,16.0,8.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,7.0,0.0,17.0,0.0,28.0,4.0,8.0,42.0,0.0,65.0,29.0,83.0,0.0,37.0,6.0,20.0,5.0,16.0,0.0,54.0,45.0,154.0,4.0,150.0,0.0,36.0,126.0,0.0,61.0,3.0,11.0,41.0,2.0,52.0,85.0,49.0,70.0,83.0,20.0,28.0,114.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10.0,13.0,14.0,3.0,8.0,0.0,9.0,0.0,8.0,0.0,47.0,11.0,18.0,17.0,10.0,41.0,26.0,55.0,15.0,14.0,48.0,17.0,7.0,0.0,20.0,0.0,2.0,0.0,13.0,107.0,0.0,8.0,164.0,78.0,4.0,43.0,55.0,71.0,25.0,0.0,0.0,114.0,11.0,0.0,18.0,90.0,0.0,0.0,0.0,48.0,0.0,0.0,4.0,211.0,0.0,347.0,10.0,23.0,15.0,0.0,9.0,121.0,97.0,273.0,171.0,75.0,0.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
32,28.0,2.0,9.0,6.0,0.0,14.0,7.0,24.0,22.0,4.0,6.0,11.0,22.0,0.0,27.0,29.0,24.0,9.0,34.0,29.0,0.0,4.0,47.0,58.0,23.0,3.0,28.0,87.0,22.0,46.0,28.0,0.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,16.0,0.0,48.0,17.0,8.0,7.0,49.0,11.0,42.0,80.0,19.0,38.0,0.0,7.0,12.0,30.0,24.0,6.0,0.0,0.0,2.0,9.0,45.0,60.0,5.0,0.0,0.0,38.0,88.0,13.0,0.0,0.0,0.0,0.0,28.0,2.0,7.0,124.0,0.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0,26.0,18.0,0.0,32.0,0.0,16.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0,24.0,3.0,14.0,32.0,0.0,45.0,26.0,5.0,16.0,8.0,127.0,156.0,22.0,23.0,334.0,4.0,20.0,260.0,11.0,120.0,30.0,21.0,0.0,308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,18.0,19.0,0.0,35.0,5.0,9.0,22.0,2.0,37.0,47.0,0.0,73.0,97.0,187.0,336.0,8.0,235.0,0.0,21.0,0.0,0.0,1.0,18.0,20.0,26.0,5.0,0.0,10.0,25.0,17.0,34.0,80.0,1.0,49.0,0.0,0.0,11.0,2.0,201.0,0.0,623.0,10.0,0.0,0.0,25.0,91.0,28.0,157.0,189.0,0.0,436.0,5.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
37,12.0,22.0,6.0,0.0,17.0,0.0,3.0,2.0,11.0,36.0,0.0,24.0,48.0,0.0,0.0,0.0,0.0,151.0,0.0,10.0,5.0,0.0,12.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,35.0,0.0,14.0,9.0,13.0,7.0,1.0,15.0,10.0,82.0,39.0,75.0,72.0,16.0,56.0,37.0,18.0,24.0,0.0,11.0,30.0,0.0,0.0,10.0,0.0,48.0,0.0,18.0,0.0,2.0,143.0,181.0,0.0,33.0,9.0,43.0,28.0,0.0,0.0,81.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,51.0,25.0,0.0,0.0,21.0,23.0,45.0,52.0,32.0,6.0,0.0,40.0,0.0,88.0,16.0,7.0,9.0,0.0,17.0,27.0,39.0,64.0,13.0,7.0,0.0,36.0,69.0,6.0,20.0,6.0,31.0,4.0,37.0,1.0,0.0,61.0,601.0,0.0,16.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,3.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5.0,22.0,2.0,9.0,29.0,11.0,14.0,8.0,0.0,37.0,34.0,21.0,9.0,0.0,66.0,50.0,25.0,1.0,16.0,67.0,52.0,11.0,33.0,14.0,31.0,146.0,22.0,29.0,19.0,0.0,37.0,50.0,33.0,0.0,31.0,123.0,168.0,0.0,0.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,10.0,0.0,0.0,5.0,35.0,12.0,33.0,40.0,1.0,0.0,29.0,78.0,0.0,26.0,19.0,31.0,17.0,33.0,0.0,59.0,15.0,10.0,0.0,0.0,0.0,35.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,10.0,0.0,29.0,13.0,0.0,0.0,0.0,2.0,7.0,7.0,21.0,0.0,31.0,35.0,33.0,7.0,14.0,0.0,7.0,22.0,0.0,0.0,25.0,0.0,0.0,12.0,69.0,0.0,30.0,14.0,0.0,0.0,123.0,60.0,23.0,5.0,2.0,4.0,5.0,23.0,93.0,17.0,12.0,29.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,35.0,0.0,216.0,0.0,2.0,14.0,0.0,27.0,0.0,0.0,0.0,65.0,3.0,0.0,8.0,176.0,31.0,123.0,6.0,147.0,3.0,35.0,114.0,31.0,1.0,2.0,25.0,0.0,267.0,108.0,0.0,0.0,0.0
43,8.0,35.0,27.0,67.0,39.0,9.0,11.0,23.0,39.0,43.0,17.0,0.0,53.0,20.0,14.0,22.0,3.0,0.0,3.0,25.0,8.0,15.0,28.0,4.0,51.0,28.0,24.0,2.0,33.0,44.0,147.0,62.0,11.0,17.0,183.0,23.0,105.0,0.0,0.0,3.0,13.0,0.0,27.0,5.0,13.0,19.0,0.0,21.0,0.0,15.0,0.0,21.0,1.0,0.0,76.0,0.0,34.0,24.0,26.0,2.0,152.0,9.0,31.0,0.0,0.0,0.0,5.0,17.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
44,15.0,48.0,12.0,16.0,0.0,3.0,0.0,10.0,6.0,13.0,6.0,0.0,11.0,57.0,33.0,11.0,28.0,38.0,130.0,36.0,51.0,138.0,62.0,89.0,37.0,15.0,63.0,0.0,86.0,33.0,1.0,11.0,0.0,12.0,34.0,16.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,13.0,15.0,18.0,15.0,0.0,9.0,27.0,11.0,3.0,16.0,4.0,0.0,11.0,0.0,0.0,36.0,23.0,58.0,19.0,15.0,0.0,41.0,40.0,20.0,41.0,83.0,10.0,0.0,20.0,0.0,13.0,511.0,21.0,14.0,13.0,3.0,1.0,23.0,77.0,12.0,95.0,79.0,2.0,54.0,35.0,17.0,153.0,0.0,75.0,165.0,245.0,0.0,0.0,1224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0,45.0,4.0,0.0,0.0,29.0,0.0,74.0,0.0,20.0,33.0,20.0,21.0,40.0,0.0,0.0,13.0,2.0,71.0,94.0,29.0,0.0,21.0,13.0,29.0,23.0,0.0,25.0,1.0,62.0,0.0,28.0,0.0,0.0,0.0,69.0,8.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.0,11.0,3.0,0.0,23.0,26.0,15.0,0.0,5.0,7.0,2.0,33.0,8.0,31.0,83.0,13.0,97.0,14.0,0.0,0.0,68.0,61.0,52.0,9.0,100.0,8.0,37.0,25.0,30.0,8.0,30.0,0.0,49.0,0.0,15.0,0.0,0.0,45.0,8.0,16.0,35.0,13.0,51.0,9.0,132.0,18.0,7.0,84.0,12.0,26.0,30.0,45.0,8.0,0.0,390.0,27.0,73.0,0.0,0.0,320.0,67.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
