,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
40,24.0,23.0,31.0,13.0,0.0,18.0,37.0,34.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11.0,30.0,40.0,62.0,13.0,24.0,16.0,0.0,3.0,35.0,2.0,19.0,18.0,15.0,53.0,2.0,23.0,26.0,57.0,0.0,16.0,38.0,0.0,8.0,14.0,8.0,18.0,64.0,7.0,23.0,20.0,5.0,0.0,0.0,0.0,35.0,2.0,3.0,0.0,52.0,0.0,0.0,18.0,0.0,18.0,19.0,7.0,16.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,30.0,7.0,15.0,35.0,32.0,18.0,12.0,8.0,15.0,47.0,21.0,66.0,45.0,0.0,0.0,9.0,18.0,0.0,15.0,79.0,19.0,0.0,0.0,20.0,21.0,9.0,6.0,26.0,21.0,0.0,0.0,22.0,114.0,0.0,81.0,10.0,7.0,0.0,39.0,19.0,26.0,0.0,13.0,0.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0,27.0,29.0,4.0,0.0,0.0,0.0,0.0,11.0,9.0,38.0,21.0,56.0,75.0,107.0,0.0,48.0,0.0,142.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0,21.0,3.0,5.0,6.0,45.0,13.0,15.0,38.0,9.0,42.0,30.0,0.0,43.0,17.0,0.0,1.0,69.0,24.0,74.0,42.0,34.0,12.0,11.0,48.0,10.0,0.0,0.0,1.0,4.0,3.0,0.0,5.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,18.0,7.0,25.0,3.0,9.0,14.0,4.0,0.0,7.0,14.0,0.0,33.0,24.0,14.0,0.0,0.0,92.0,128.0,0.0,3.0,19.0,16.0,7.0,0.0,46.0,102.0,0.0,58.0,36.0,41.0,95.0,0.0,0.0,10.0,0.0,18.0,0.0,0.0,9.0,7.0,36.0,26.0,22.0,12.0,0.0,6.0,0.0,0.0,0.0,230.0,8.0,7.0,20.0,0.0,21.0,31.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0,34.0,0.0,0.0,11.0,3.0,23.0,0.0,1.0,10.0,9.0,11.0,12.0,5.0,11.0,0.0,5.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.0,16.0,4.0,10.0,25.0,7.0,0.0,3.0,8.0,51.0,14.0,16.0,13.0,36.0,58.0,5.0,14.0,0.0,22.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,16.0,20.0,13.0,0.0,13.0,0.0,10.0,31.0,1.0,33.0,0.0,71.0,8.0,0.0,8.0,49.0,0.0,14.0,0.0,17.0,48.0,16.0,89.0,151.0,15.0,89.0,9.0,39.0,48.0,0.0,333.0,0.0,0.0,394.0,36.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,28.0,0.0,11.0,32.0,2.0,0.0,19.0,0.0,10.0,17.0,6.0,2.0,0.0,42.0,3.0,15.0,1.0,12.0,9.0,51.0,59.0,0.0,0.0,0.0,0.0,104.0,36.0,0.0,205.0,32.0,0.0,94.0,125.0,93.0,13.0,68.0,74.0,83.0,56.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0,16.0,25.0,55.0,0.0,0.0,20.0,4.0,14.0,14.0,21.0,0.0,34.0,0.0,54.0,45.0,0.0,0.0,0.0,110.0,293.0,238.0,0.0,36.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,16.0,2.0,0.0,11.0,0.0,0.0,9.0,31.0,13.0,24.0,0.0,3.0,46.0,45.0,23.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,7.0,14.0,5.0,5.0,21.0,29.0,2.0,0.0,7.0,52.0,40.0,6.0,57.0,46.0,4.0,0.0,78.0,0.0,0.0,0.0,7.0,7.0,11.0,3.0,0.0,0.0,14.0,0.0,1.0,20.0,6.0,1.0,8.0,1.0,0.0,0.0,0.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.0,0.0,7.0,10.0,23.0,11.0,30.0,31.0,9.0,0.0,1.0,5.0,39.0,0.0,8.0,5.0,60.0,73.0,0.0,9.0,0.0,8.0,49.0,8.0,47.0,0.0,0.0,42.0,47.0,0.0,0.0,1.0,0.0,7.0,8.0,3.0,9.0,9.0,5.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,2.0,2.0,3.0,2.0,21.0,0.0,1.0,12.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,7.0,17.0,22.0,21.0,6.0,0.0,0.0,16.0,7.0,3.0,9.0,6.0,0.0,0.0,5.0,21.0,25.0,33.0,134.0,0.0,0.0,170.0,1.0,0.0,0.0,66.0,47.0,0.0,17.0,140.0,59.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,11.0,49.0,17.0,0.0,17.0,12.0,0.0,7.0,8.0,56.0,48.0,0.0,31.0,27.0,27.0,35.0,55.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,17.0,0.0,26.0,10.0,6.0,1.0,30.0,7.0,0.0,13.0,21.0,13.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4.0,17.0,19.0,25.0,29.0,6.0,43.0,14.0,13.0,12.0,11.0,47.0,12.0,0.0,19.0,20.0,41.0,0.0,31.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,6.0,3.0,0.0,20.0,0.0,8.0,57.0,15.0,0.0,10.0,0.0,0.0,7.0,5.0,0.0,0.0,11.0,7.0,47.0,9.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10.0,38.0,0.0,1.0,15.0,14.0,26.0,17.0,8.0,16.0,6.0,17.0,71.0,21.0,0.0,0.0,8.0,0.0,30.0,0.0,32.0,0.0,0.0,29.0,6.0,0.0,22.0,0.0,182.0,10.0,0.0,15.0,46.0,112.0,36.0,159.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,25.0,35.0,0.0,10.0,22.0,21.0,29.0,32.0,7.0,44.0,13.0,21.0,7.0,69.0,6.0,1.0,58.0,0.0,67.0,33.0,0.0,301.0,21.0,433.0,101.0,387.0,507.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,8.0,34.0,1.0,47.0,16.0,1.0,39.0,33.0,74.0,49.0,0.0,19.0,20.0,47.0,18.0,94.0,38.0,13.0,15.0,7.0,0.0,16.0,48.0,71.0,0.0,39.0,0.0,9.0,194.0,66.0,373.0,0.0,5.0,0.0,119.0,61.0,0.0,412.0,59.0,29.0,225.0,138.0,156.0,0.0,18.0,42.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,15.0,8.0,0.0,35.0,0.0,14.0,29.0,4.0,0.0,0.0,10.0,12.0,115.0,5.0,213.0,8.0,3.0,46.0,78.0,6.0,0.0,0.0,95.0,58.0,0.0,265.0,246.0,0.0,15.0,23.0,12.0,46.0,20.0,46.0,14.0,25.0,0.0,0.0,0.0,36.0,14.0,6.0,0.0,0.0,43.0,0.0,10.0,4.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1.0,2.0,17.0,7.0,12.0,42.0,21.0,14.0,22.0,21.0,9.0,3.0,7.0,10.0,19.0,3.0,6.0,42.0,75.0,9.0,9.0,10.0,8.0,1.0,0.0,155.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,11.0,15.0,37.0,0.0,23.0,19.0,0.0,30.0,19.0,17.0,0.0,0.0,0.0,23.0,5.0,0.0,4.0,15.0,1.0,8.0,5.0,92.0,51.0,13.0,2.0,11.0,0.0,551.0,0.0,34.0,125.0,10.0,0.0,6.0,17.0,10.0,2.0,19.0,38.0,0.0,56.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0,38.0,8.0,0.0,36.0,24.0,19.0,40.0,5.0,0.0,15.0,16.0,32.0,10.0,7.0,32.0,47.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,26.0,0.0,0.0,42.0,18.0,25.0,0.0,56.0,15.0,60.0,27.0,0.0,53.0,38.0,19.0,61.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.0,21.0,12.0,7.0,0.0,0.0,0.0,17.0,7.0,24.0,24.0,7.0,8.0,36.0,56.0,23.0,1.0,36.0,26.0,0.0,0.0,81.0,1.0,46.0,110.0,35.0,23.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,10.0,14.0,33.0,0.0,10.0,8.0,1.0,4.0,14.0,22.0,0.0,33.0,32.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,37.0,16.0,13.0,87.0,7.0,5.0,16.0,0.0,1.0,15.0,21.0,16.0,19.0,46.0,22.0,0.0,127.0,3.0,25.0,11.0,0.0,20.0,9.0,0.0,0.0,7.0,3.0,57.0,2.0,51.0,20.0,5.0,0.0,9.0,34.0,30.0,0.0,0.0,16.0,20.0,0.0,17.0,34.0,7.0,0.0,23.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,15.0,3.0,6.0,0.0,16.0,9.0,9.0,77.0,67.0,3.0,9.0,18.0,14.0,0.0,10.0,16.0,25.0,22.0,2.0,0.0,47.0,9.0,0.0,0.0,34.0,114.0,45.0,26.0,0.0,38.0,3.0,141.0,89.0,34.0,104.0,23.0,0.0,32.0,10.0,0.0,3.0,67.0,32.0,0.0,0.0,46.0,16.0,5.0,23.0,22.0,66.0,11.0,22.0,18.0,3.0,0.0,16.0,8.0,0.0,21.0,3.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4.0,10.0,31.0,0.0,13.0,23.0,19.0,6.0,43.0,11.0,9.0,18.0,21.0,11.0,22.0,31.0,15.0,12.0,0.0,47.0,7.0,0.0,3.0,17.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,14.0,14.0,8.0,0.0,0.0,4.0,0.0,0.0,21.0,38.0,6.0,21.0,10.0,15.0,17.0,22.0,39.0,1.0,19.0,0.0,7.0,9.0,9.0,16.0,1.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,1.0,0.0,0.0,9.0,15.0,18.0,32.0,20.0,0.0,0.0,12.0,28.0,39.0,4.0,15.0,5.0,40.0,32.0,43.0,28.0,18.0,0.0,0.0,18.0,76.0,0.0,0.0,0.0,0.0,10.0,0.0,51.0,21.0,7.0,21.0,45.0,15.0,0.0,10.0,18.0,16.0,85.0,0.0,17.0,1.0,18.0,3.0,1.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,18.0,9.0,2.0,24.0,79.0,0.0,41.0,25.0,5.0,37.0,0.0,0.0,57.0,76.0,23.0,0.0,31.0,43.0,26.0,5.0,45.0,44.0,44.0,0.0,26.0,87.0,97.0,28.0,32.0,35.0,15.0,24.0,0.0,0.0,182.0,18.0,69.0,13.0,6.0,1.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4.0,15.0,10.0,21.0,8.0,30.0,6.0,5.0,10.0,0.0,68.0,4.0,27.0,18.0,19.0,11.0,9.0,85.0,39.0,8.0,24.0,28.0,117.0,0.0,17.0,70.0,16.0,41.0,19.0,7.0,0.0,0.0,34.0,0.0,67.0,0.0,34.0,0.0,0.0,179.0,30.0,109.0,0.0,15.0,0.0,8.0,9.0,0.0,19.0,10.0,19.0,0.0,2.0,6.0,20.0,0.0,29.0,30.0,3.0,0.0,29.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.0,22.0,32.0,19.0,19.0,0.0,0.0,26.0,27.0,9.0,13.0,14.0,18.0,17.0,19.0,13.0,0.0,0.0,5.0,17.0,0.0,16.0,32.0,19.0,28.0,27.0,0.0,8.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,8.0,0.0,8.0,0.0,0.0,0.0,16.0,1.0,72.0,18.0,12.0,8.0,14.0,1.0,0.0,35.0,9.0,36.0,49.0,91.0,60.0,21.0,28.0,116.0,0.0,0.0,89.0,16.0,5.0,63.0,0.0,29.0,1.0,0.0,0.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,17.0,5.0,17.0,4.0,17.0,0.0,13.0,0.0,48.0,4.0,4.0,4.0,12.0,12.0,0.0,0.0,0.0,147.0,5.0,11.0,46.0,0.0,0.0,46.0,0.0,28.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,0.0,0.0,21.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,14.0,40.0,0.0,20.0,18.0,24.0,75.0,11.0,0.0,0.0,0.0,35.0,1.0,31.0,111.0,2.0,22.0,3.0,18.0,37.0,0.0,93.0,84.0,23.0,64.0,5.0,32.0,45.0,31.0,162.0,21.0,35.0,0.0,20.0,82.0,10.0,70.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0.0,10.0,15.0,15.0,27.0,23.0,10.0,11.0,103.0,0.0,0.0,19.0,156.0,8.0,31.0,62.0,12.0,0.0,24.0,35.0,8.0,1.0,212.0,30.0,5.0,46.0,24.0,112.0,67.0,11.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.0,11.0,5.0,23.0,21.0,4.0,9.0,3.0,3.0,7.0,17.0,0.0,0.0,0.0,12.0,31.0,20.0,64.0,15.0,0.0,19.0,0.0,304.0,0.0,73.0,11.0,21.0,77.0,0.0,31.0,8.0,114.0,7.0,14.0,25.0,11.0,6.0,52.0,152.0,4.0,41.0,7.0,112.0,0.0,48.0,0.0,26.0,36.0,0.0,189.0,3.0,0.0,28.0,0.0,108.0,0.0,7.0,11.0,8.0,0.0,8.0,12.0,31.0,14.0,1.0,0.0,15.0,51.0,33.0,74.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2.0,8.0,14.0,2.0,24.0,29.0,8.0,31.0,17.0,10.0,39.0,3.0,16.0,21.0,32.0,24.0,18.0,24.0,60.0,33.0,7.0,84.0,24.0,91.0,83.0,62.0,69.0,27.0,392.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,47.0,10.0,0.0,8.0,10.0,8.0,23.0,0.0,25.0,50.0,20.0,9.0,0.0,29.0,20.0,22.0,0.0,0.0,12.0,12.0,11.0,0.0,9.0,13.0,16.0,31.0,3.0,23.0,27.0,38.0,2.0,21.0,126.0,40.0,163.0,1.0,0.0,93.0,129.0,0.0,0.0,12.0,0.0,45.0,0.0,23.0,224.0,115.0,30.0,8.0,0.0,147.0,189.0,467.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,21.0,12.0,10.0,3.0,6.0,27.0,18.0,11.0,67.0,17.0,58.0,60.0,9.0,16.0,193.0,2.0,23.0,29.0,2.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
