,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,0.0,0.0,25.0,1.0,14.0,0.0,0.0,19.0,13.0,6.0,23.0,34.0,0.0,91.0,15.0,17.0,30.0,0.0,79.0,0.0,0.0,36.0,76.0,21.0,0.0,3.0,11.0,51.0,16.0,10.0,0.0,6.0,23.0,34.0,32.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0,26.0,19.0,61.0,0.0,0.0,0.0,5.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,0.0,10.0,4.0,0.0,41.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,10.0,14.0,26.0,3.0,10.0,0.0,11.0,8.0,5.0,0.0,0.0,28.0,41.0,8.0,0.0,59.0,24.0,13.0,0.0,73.0,0.0,79.0,10.0,5.0,41.0,41.0,58.0,0.0,12.0,6.0,10.0,0.0,8.0,0.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19.0,28.0,26.0,18.0,2.0,26.0,9.0,9.0,3.0,25.0,16.0,0.0,43.0,83.0,22.0,107.0,63.0,29.0,1.0,2.0,9.0,55.0,8.0,7.0,132.0,0.0,35.0,36.0,21.0,29.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19.0,12.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,9.0,13.0,14.0,0.0,12.0,1.0,43.0,18.0,23.0,8.0,10.0,0.0,11.0,98.0,0.0,0.0,130.0,89.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,6.0,27.0,0.0,17.0,10.0,6.0,0.0,0.0,10.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,2.0,12.0,5.0,15.0,6.0,23.0,17.0,0.0,4.0,0.0,0.0,0.0,15.0,16.0,0.0,23.0,7.0,3.0,10.0,49.0,66.0,45.0,3.0,8.0,45.0,7.0,9.0,31.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,65.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,37.0,21.0,37.0,29.0,29.0,9.0,16.0,0.0,0.0,29.0,7.0,0.0,29.0,26.0,42.0,0.0,15.0,0.0,0.0,0.0,16.0,7.0,12.0,0.0,45.0,12.0,7.0,47.0,0.0,0.0,168.0,73.0,3.0,24.0,0.0,11.0,5.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10.0,0.0,25.0,0.0,35.0,6.0,24.0,5.0,13.0,20.0,31.0,22.0,11.0,30.0,9.0,0.0,9.0,32.0,34.0,67.0,0.0,63.0,0.0,12.0,7.0,16.0,0.0,9.0,0.0,32.0,8.0,60.0,30.0,19.0,76.0,176.0,0.0,39.0,40.0,225.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,32.0,22.0,5.0,13.0,11.0,34.0,32.0,33.0,4.0,23.0,21.0,13.0,17.0,34.0,4.0,14.0,25.0,76.0,0.0,0.0,0.0,22.0,2.0,26.0,16.0,23.0,7.0,97.0,19.0,11.0,167.0,185.0,2.0,44.0,10.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.0,4.0,0.0,26.0,18.0,19.0,19.0,11.0,1.0,21.0,10.0,11.0,33.0,14.0,11.0,29.0,3.0,27.0,101.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8.0,18.0,0.0,1.0,29.0,27.0,13.0,0.0,6.0,0.0,0.0,21.0,0.0,17.0,21.0,29.0,0.0,36.0,53.0,42.0,8.0,18.0,0.0,15.0,0.0,12.0,24.0,2.0,28.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15.0,28.0,0.0,13.0,16.0,0.0,20.0,15.0,10.0,0.0,15.0,0.0,9.0,41.0,21.0,0.0,0.0,30.0,24.0,2.0,6.0,0.0,28.0,0.0,47.0,117.0,0.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,25.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8.0,7.0,3.0,18.0,7.0,24.0,8.0,0.0,0.0,20.0,14.0,17.0,5.0,3.0,5.0,0.0,22.0,25.0,0.0,7.0,31.0,19.0,42.0,0.0,6.0,0.0,60.0,8.0,76.0,4.0,131.0,0.0,15.0,11.0,6.0,26.0,0.0,265.0,72.0,0.0,0.0,3.0,48.0,0.0,6.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4.0,25.0,49.0,0.0,0.0,42.0,0.0,6.0,7.0,10.0,4.0,23.0,45.0,57.0,12.0,0.0,0.0,0.0,73.0,19.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,9.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12.0,44.0,26.0,10.0,0.0,0.0,32.0,0.0,0.0,23.0,9.0,50.0,40.0,30.0,0.0,23.0,0.0,0.0,7.0,0.0,14.0,16.0,1.0,19.0,3.0,7.0,15.0,10.0,1.0,0.0,0.0,0.0,10.0,12.0,7.0,29.0,0.0,16.0,5.0,2.0,22.0,0.0,12.0,9.0,0.0,11.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.0,16.0,21.0,5.0,0.0,2.0,8.0,30.0,18.0,2.0,0.0,16.0,0.0,15.0,17.0,0.0,43.0,23.0,70.0,135.0,112.0,79.0,114.0,70.0,2.0,22.0,82.0,60.0,8.0,0.0,27.0,88.0,0.0,0.0,17.0,7.0,20.0,42.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,21.0,0.0,0.0,9.0,1.0,26.0,0.0,0.0,9.0,0.0,10.0,14.0,4.0,21.0,10.0,15.0,13.0,0.0,46.0,13.0,48.0,0.0,0.0,24.0,0.0,10.0,41.0,0.0,13.0,0.0,0.0,29.0,3.0,12.0,41.0,0.0,50.0,0.0,152.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,33.0,8.0,0.0,27.0,26.0,47.0,11.0,33.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,26.0,0.0,0.0,27.0,0.0,2.0,0.0,13.0,14.0,0.0,24.0,22.0,23.0,17.0,11.0,0.0,0.0,34.0,0.0,22.0,8.0,17.0,13.0,0.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12.0,22.0,0.0,1.0,7.0,0.0,23.0,0.0,3.0,0.0,3.0,8.0,31.0,14.0,19.0,11.0,0.0,2.0,28.0,0.0,5.0,8.0,32.0,0.0,0.0,17.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,33.0,20.0,14.0,24.0,0.0,0.0,32.0,0.0,40.0,17.0,36.0,0.0,44.0,8.0,13.0,3.0,5.0,13.0,0.0,0.0,3.0,136.0,0.0,22.0,0.0,36.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8.0,37.0,0.0,3.0,0.0,0.0,4.0,6.0,23.0,49.0,27.0,12.0,0.0,17.0,20.0,7.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,7.0,23.0,0.0,0.0,0.0,4.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,30.0,12.0,0.0,16.0,1.0,12.0,0.0,12.0,24.0,4.0,22.0,9.0,14.0,23.0,1.0,25.0,0.0,0.0,18.0,0.0,24.0,15.0,30.0,0.0,10.0,6.0,11.0,0.0,9.0,7.0,7.0,0.0,7.0,25.0,0.0,48.0,0.0,8.0,6.0,12.0,60.0,19.0,27.0,62.0,27.0,43.0,59.0,0.0,30.0,9.0,0.0,0.0,60.0,0.0,0.0,0.0,54.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,31.0,16.0,19.0,5.0,0.0,33.0,9.0,0.0,5.0,36.0,14.0,70.0,67.0,41.0,37.0,3.0,41.0,12.0,10.0,37.0,81.0,0.0,6.0,22.0,16.0,42.0,17.0,28.0,0.0,7.0,8.0,14.0,0.0,1.0,0.0,37.0,0.0,11.0,4.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10.0,5.0,39.0,9.0,6.0,0.0,15.0,26.0,13.0,35.0,37.0,0.0,38.0,86.0,8.0,0.0,20.0,136.0,0.0,0.0,0.0,6.0,0.0,124.0,125.0,0.0,26.0,0.0,7.0,30.0,12.0,33.0,126.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,17.0,0.0,8.0,20.0,0.0,3.0,54.0,4.0,23.0,22.0,0.0,48.0,0.0,33.0,11.0,25.0,56.0,0.0,161.0,2.0,0.0,16.0,17.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,8.0,0.0,21.0,15.0,17.0,0.0,0.0,16.0,5.0,15.0,13.0,28.0,6.0,0.0,0.0,2.0,0.0,1.0,5.0,87.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,26.0,25.0,0.0,0.0,4.0,4.0,15.0,14.0,12.0,11.0,27.0,10.0,14.0,0.0,8.0,2.0,20.0,44.0,16.0,5.0,0.0,39.0,0.0,6.0,26.0,0.0,6.0,21.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,27.0,2.0,0.0,25.0,0.0,6.0,0.0,0.0,5.0,25.0,11.0,4.0,50.0,13.0,83.0,28.0,0.0,28.0,54.0,29.0,0.0,33.0,17.0,12.0,17.0,0.0,76.0,17.0,17.0,0.0,0.0,6.0,0.0,20.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,8.0,27.0,28.0,2.0,10.0,35.0,49.0,17.0,49.0,8.0,43.0,3.0,9.0,5.0,8.0,13.0,9.0,5.0,4.0,8.0,35.0,25.0,5.0,0.0,35.0,1.0,17.0,4.0,14.0,0.0,1.0,8.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31.0,17.0,1.0,11.0,21.0,7.0,13.0,0.0,0.0,27.0,20.0,0.0,17.0,23.0,0.0,5.0,4.0,0.0,30.0,16.0,10.0,9.0,0.0,0.0,0.0,0.0,22.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,51.0,5.0,19.0,3.0,26.0,8.0,0.0,14.0,10.0,5.0,2.0,3.0,12.0,0.0,62.0,73.0,0.0,53.0,0.0,48.0,0.0,45.0,24.0,0.0,21.0,81.0,0.0,51.0,31.0,44.0,0.0,33.0,0.0,6.0,25.0,62.0,43.0,112.0,11.0,60.0,47.0,5.0,52.0,0.0,7.0,10.0,171.0,40.0,83.0,2.0,43.0,15.0,7.0,66.0,0.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,15.0,23.0,10.0,0.0,0.0,0.0,12.0,16.0,4.0,50.0,0.0,0.0,0.0,97.0,60.0,78.0,0.0,184.0,0.0,14.0,10.0,1.0,0.0,316.0,7.0,75.0,26.0,96.0,126.0,168.0,10.0,74.0,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,7.0,9.0,8.0,8.0,13.0,5.0,0.0,0.0,3.0,8.0,11.0,3.0,19.0,0.0,10.0,5.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,17.0,5.0,9.0,26.0,38.0,1.0,6.0,0.0,22.0,0.0,20.0,1.0,9.0,10.0,13.0,0.0,5.0,24.0,22.0,0.0,4.0,24.0,4.0,19.0,5.0,16.0,0.0,89.0,26.0,0.0,7.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,10.0,0.0,8.0,18.0,16.0,2.0,49.0,0.0,36.0,17.0,53.0,0.0,0.0,13.0,0.0,49.0,9.0,7.0,7.0,2.0,79.0,2.0,0.0,23.0,9.0,9.0,0.0,4.0,38.0,14.0,0.0,34.0,0.0,0.0,13.0,25.0,11.0,5.0,5.0,6.0,9.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3.0,3.0,4.0,22.0,21.0,7.0,7.0,0.0,0.0,25.0,29.0,15.0,0.0,151.0,14.0,0.0,0.0,13.0,0.0,43.0,0.0,15.0,74.0,1.0,9.0,97.0,24.0,4.0,8.0,0.0,42.0,0.0,0.0,53.0,10.0,7.0,2.0,14.0,19.0,4.0,8.0,2.0,0.0,0.0,2.0,11.0,6.0,0.0,1.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.0,16.0,0.0,21.0,17.0,4.0,35.0,0.0,2.0,0.0,7.0,13.0,0.0,6.0,0.0,20.0,1.0,3.0,23.0,48.0,33.0,0.0,2.0,2.0,7.0,2.0,8.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,12.0,37.0,4.0,0.0,24.0,18.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,27.0,21.0,0.0,0.0,0.0,11.0,12.0,50.0,0.0,0.0,0.0,0.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
