,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
210,16.0,30.0,10.0,22.0,36.0,10.0,9.0,17.0,98.0,48.0,22.0,3.0,13.0,34.0,29.0,13.0,100.0,24.0,45.0,40.0,48.0,11.0,49.0,27.0,11.0,28.0,36.0,7.0,0.0,2.0,13.0,54.0,4.0,0.0,0.0,9.0,56.0,0.0,0.0,0.0,283.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,3.0,9.0,3.0,25.0,18.0,16.0,1.0,0.0,0.0,0.0,0.0,20.0,16.0,0.0,7.0,21.0,18.0,9.0,25.0,9.0,62.0,1.0,10.0,53.0,62.0,9.0,6.0,0.0,25.0,11.0,8.0,7.0,7.0,2.0,25.0,0.0,16.0,0.0,0.0,5.0,11.0,12.0,2.0,0.0,41.0,42.0,9.0,0.0,9.0,0.0,13.0,19.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,5.0,0.0,29.0,0.0,0.0,0.0,52.0,14.0,50.0,0.0,6.0,5.0,2.0,0.0,17.0,0.0,37.0,0.0,11.0,0.0,0.0,45.0,19.0,19.0,83.0,6.0,6.0,0.0,0.0,22.0,0.0,0.0,,,,,,,,
212,7.0,7.0,38.0,3.0,28.0,24.0,73.0,34.0,0.0,15.0,1.0,26.0,43.0,37.0,53.0,69.0,0.0,5.0,7.0,0.0,16.0,0.0,3.0,12.0,13.0,2.0,37.0,16.0,0.0,0.0,0.0,34.0,60.0,44.0,0.0,27.0,81.0,158.0,0.0,0.0,25.0,171.0,47.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,0.0,10.0,9.0,6.0,21.0,31.0,35.0,3.0,17.0,0.0,21.0,0.0,23.0,0.0,10.0,221.0,0.0,18.0,13.0,0.0,0.0,245.0,0.0,44.0,12.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,0.0,37.0,20.0,63.0,0.0,0.0,0.0,77.0,34.0,35.0,5.0,40.0,15.0,34.0,18.0,309.0,28.0,13.0,74.0,31.0,93.0,58.0,105.0,0.0,35.0,8.0,0.0,30.0,0.0,53.0,128.0,48.0,0.0,252.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,0.0,18.0,25.0,28.0,16.0,7.0,11.0,3.0,1.0,32.0,0.0,23.0,2.0,10.0,19.0,38.0,13.0,0.0,24.0,5.0,0.0,18.0,65.0,2.0,96.0,10.0,28.0,376.0,111.0,19.0,0.0,491.0,51.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,14.0,2.0,3.0,0.0,36.0,18.0,15.0,10.0,17.0,18.0,2.0,42.0,0.0,0.0,39.0,23.0,13.0,1.0,0.0,22.0,14.0,22.0,6.0,57.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,4.0,9.0,17.0,4.0,24.0,24.0,0.0,8.0,40.0,31.0,22.0,19.0,23.0,21.0,52.0,8.0,26.0,29.0,0.0,12.0,0.0,22.0,13.0,32.0,56.0,18.0,0.0,0.0,0.0,18.0,27.0,56.0,52.0,158.0,21.0,29.0,53.0,0.0,0.0,0.0,60.0,0.0,0.0,2.0,1.0,63.0,0.0,0.0,0.0,37.0,13.0,46.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1.0,0.0,4.0,27.0,9.0,3.0,16.0,75.0,51.0,9.0,9.0,95.0,0.0,0.0,72.0,38.0,12.0,13.0,9.0,29.0,93.0,12.0,259.0,16.0,41.0,0.0,13.0,11.0,0.0,8.0,0.0,18.0,10.0,27.0,17.0,40.0,16.0,21.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,38.0,0.0,25.0,6.0,0.0,28.0,10.0,11.0,13.0,11.0,0.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2.0,29.0,8.0,18.0,9.0,0.0,13.0,15.0,0.0,11.0,29.0,10.0,24.0,14.0,22.0,18.0,7.0,70.0,0.0,48.0,17.0,41.0,0.0,4.0,2.0,14.0,16.0,0.0,82.0,48.0,0.0,0.0,79.0,0.0,0.0,0.0,73.0,20.0,0.0,0.0,0.0,119.0,0.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,22.0,26.0,15.0,13.0,0.0,7.0,6.0,0.0,0.0,0.0,23.0,40.0,0.0,24.0,91.0,24.0,85.0,14.0,0.0,0.0,127.0,33.0,166.0,171.0,0.0,3.0,31.0,188.0,0.0,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,26.0,0.0,0.0,12.0,22.0,42.0,0.0,58.0,29.0,25.0,36.0,19.0,26.0,15.0,22.0,1.0,1.0,31.0,34.0,21.0,72.0,24.0,133.0,75.0,0.0,3.0,3.0,5.0,0.0,78.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,13.0,13.0,15.0,9.0,6.0,21.0,48.0,15.0,10.0,21.0,6.0,28.0,18.0,9.0,82.0,49.0,13.0,18.0,13.0,126.0,3.0,0.0,11.0,83.0,92.0,78.0,0.0,5.0,43.0,30.0,5.0,80.0,8.0,4.0,22.0,36.0,59.0,110.0,25.0,0.0,0.0,0.0,2.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,12.0,13.0,21.0,31.0,14.0,21.0,48.0,39.0,10.0,3.0,8.0,10.0,27.0,0.0,26.0,63.0,82.0,39.0,46.0,11.0,26.0,0.0,36.0,0.0,2.0,49.0,38.0,0.0,6.0,6.0,34.0,58.0,47.0,66.0,34.0,0.0,77.0,6.0,0.0,49.0,237.0,168.0,5.0,0.0,85.0,523.0,4.0,4.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,27.0,3.0,0.0,17.0,1.0,3.0,28.0,6.0,14.0,23.0,23.0,8.0,23.0,59.0,45.0,12.0,33.0,32.0,1.0,0.0,49.0,6.0,69.0,0.0,29.0,6.0,9.0,0.0,0.0,8.0,5.0,8.0,9.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,15.0,21.0,23.0,10.0,4.0,23.0,5.0,2.0,62.0,31.0,37.0,0.0,30.0,18.0,27.0,42.0,25.0,2.0,30.0,17.0,118.0,8.0,57.0,0.0,20.0,58.0,206.0,52.0,21.0,5.0,0.0,0.0,0.0,36.0,5.0,4.0,0.0,0.0,49.0,36.0,0.0,6.0,0.0,0.0,5.0,10.0,23.0,0.0,0.0,0.0,0.0,111.0,21.0,13.0,18.0,5.0,0.0,2.0,0.0,0.0,89.0,0.0,0.0,0.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,0.0,3.0,26.0,22.0,14.0,9.0,8.0,29.0,33.0,17.0,4.0,32.0,24.0,109.0,8.0,0.0,64.0,0.0,0.0,131.0,119.0,49.0,85.0,36.0,0.0,114.0,0.0,0.0,51.0,0.0,11.0,0.0,48.0,0.0,8.0,0.0,30.0,34.0,43.0,43.0,0.0,0.0,0.0,13.0,24.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,20.0,3.0,17.0,38.0,31.0,0.0,8.0,12.0,3.0,7.0,34.0,43.0,28.0,99.0,18.0,85.0,124.0,103.0,7.0,23.0,11.0,43.0,0.0,0.0,0.0,32.0,0.0,16.0,0.0,0.0,4.0,11.0,0.0,31.0,16.0,9.0,15.0,17.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,55.0,4.0,5.0,16.0,0.0,8.0,27.0,21.0,36.0,131.0,40.0,20.0,16.0,57.0,29.0,4.0,1.0,21.0,19.0,0.0,24.0,165.0,62.0,0.0,76.0,68.0,14.0,54.0,49.0,0.0,53.0,0.0,76.0,0.0,12.0,261.0,33.0,153.0,0.0,55.0,0.0,81.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,23.0,28.0,0.0,14.0,15.0,24.0,6.0,27.0,15.0,3.0,0.0,15.0,132.0,66.0,5.0,92.0,30.0,30.0,0.0,23.0,31.0,30.0,111.0,38.0,19.0,0.0,63.0,3.0,217.0,0.0,136.0,91.0,101.0,113.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,3.0,6.0,24.0,0.0,2.0,30.0,14.0,19.0,58.0,0.0,13.0,17.0,25.0,0.0,25.0,3.0,0.0,5.0,25.0,13.0,33.0,2.0,53.0,17.0,16.0,5.0,3.0,7.0,3.0,20.0,26.0,6.0,13.0,32.0,44.0,44.0,28.0,51.0,0.0,148.0,0.0,91.0,30.0,4.0,147.0,24.0,0.0,53.0,90.0,106.0,0.0,0.0,14.0,0.0,0.0,0.0,101.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,3.0,3.0,0.0,6.0,0.0,16.0,26.0,27.0,29.0,0.0,4.0,13.0,19.0,27.0,14.0,7.0,23.0,0.0,0.0,35.0,7.0,74.0,9.0,17.0,0.0,55.0,0.0,0.0,112.0,0.0,15.0,77.0,0.0,0.0,0.0,0.0,16.0,0.0,35.0,40.0,130.0,0.0,6.0,45.0,26.0,51.0,21.0,33.0,21.0,25.0,0.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,12.0,2.0,0.0,8.0,35.0,11.0,0.0,45.0,28.0,96.0,0.0,0.0,0.0,30.0,0.0,98.0,0.0,131.0,102.0,59.0,4.0,0.0,19.0,0.0,20.0,0.0,0.0,51.0,24.0,60.0,0.0,9.0,0.0,183.0,11.0,0.0,0.0,0.0,47.0,0.0,0.0,652.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,68.0,34.0,9.0,15.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,4.0,30.0,21.0,18.0,15.0,12.0,27.0,22.0,12.0,10.0,73.0,17.0,49.0,162.0,20.0,28.0,18.0,4.0,4.0,0.0,0.0,27.0,0.0,0.0,27.0,69.0,0.0,64.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,7.0,17.0,15.0,0.0,13.0,37.0,15.0,36.0,15.0,0.0,16.0,6.0,0.0,0.0,24.0,5.0,1.0,29.0,7.0,0.0,57.0,0.0,11.0,25.0,22.0,11.0,25.0,19.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,8.0,13.0,0.0,4.0,0.0,3.0,14.0,1.0,4.0,4.0,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,24.0,11.0,39.0,9.0,5.0,23.0,7.0,5.0,9.0,2.0,11.0,29.0,64.0,3.0,0.0,62.0,77.0,37.0,6.0,0.0,16.0,34.0,41.0,56.0,39.0,0.0,30.0,56.0,61.0,59.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,244.0,88.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1.0,10.0,0.0,14.0,0.0,22.0,33.0,25.0,14.0,9.0,104.0,17.0,14.0,0.0,101.0,54.0,0.0,4.0,31.0,11.0,0.0,41.0,48.0,162.0,114.0,68.0,0.0,0.0,41.0,33.0,17.0,0.0,18.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,14.0,0.0,0.0,4.0,39.0,31.0,0.0,59.0,9.0,5.0,11.0,21.0,5.0,23.0,30.0,9.0,24.0,26.0,0.0,17.0,38.0,48.0,38.0,19.0,0.0,0.0,12.0,5.0,16.0,0.0,11.0,19.0,0.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,29.0,17.0,26.0,18.0,5.0,7.0,26.0,10.0,39.0,54.0,10.0,0.0,8.0,31.0,3.0,42.0,327.0,1.0,6.0,53.0,27.0,33.0,20.0,0.0,2.0,9.0,0.0,0.0,13.0,0.0,0.0,2.0,3.0,0.0,0.0,7.0,1.0,40.0,6.0,19.0,243.0,25.0,209.0,0.0,64.0,16.0,23.0,42.0,1.0,4.0,0.0,0.0,5.0,7.0,0.0,0.0,8.0,8.0,57.0,0.0,37.0,16.0,17.0,34.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,8.0,18.0,10.0,0.0,32.0,7.0,5.0,30.0,24.0,0.0,57.0,32.0,29.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,15.0,46.0,4.0,122.0,3.0,8.0,0.0,58.0,818.0,96.0,218.0,371.0,76.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,22.0,39.0,21.0,6.0,20.0,43.0,26.0,6.0,5.0,0.0,16.0,32.0,6.0,0.0,0.0,3.0,11.0,6.0,10.0,1.0,10.0,0.0,0.0,6.0,10.0,0.0,7.0,0.0,5.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,21.0,16.0,13.0,16.0,2.0,3.0,29.0,21.0,33.0,10.0,6.0,12.0,4.0,23.0,25.0,23.0,11.0,13.0,8.0,0.0,52.0,26.0,9.0,0.0,0.0,40.0,11.0,13.0,32.0,1.0,0.0,39.0,172.0,110.0,109.0,35.0,120.0,159.0,29.0,20.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,32.0,86.0,27.0,15.0,24.0,65.0,0.0,59.0,14.0,46.0,14.0,18.0,10.0,12.0,15.0,31.0,0.0,9.0,21.0,22.0,57.0,14.0,3.0,0.0,71.0,0.0,0.0,0.0,16.0,34.0,0.0,0.0,33.0,15.0,28.0,58.0,0.0,41.0,9.0,63.0,22.0,60.0,0.0,0.0,31.0,9.0,3.0,15.0,82.0,5.0,0.0,16.0,0.0,50.0,0.0,85.0,32.0,100.0,0.0,10.0,42.0,0.0,0.0,36.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,423.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
244,6.0,19.0,13.0,0.0,5.0,0.0,4.0,0.0,7.0,28.0,2.0,0.0,28.0,13.0,105.0,21.0,87.0,28.0,0.0,0.0,3.0,0.0,36.0,58.0,0.0,0.0,2.0,24.0,0.0,48.0,18.0,6.0,19.0,17.0,0.0,100.0,235.0,39.0,15.0,0.0,2.0,15.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,7.0,29.0,18.0,3.0,22.0,15.0,16.0,8.0,38.0,36.0,31.0,0.0,2.0,0.0,9.0,0.0,9.0,25.0,7.0,0.0,0.0,0.0,11.0,31.0,0.0,34.0,3.0,22.0,1.0,0.0,1.0,71.0,178.0,0.0,19.0,3.0,13.0,24.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,31.0,7.0,16.0,10.0,24.0,14.0,8.0,2.0,35.0,34.0,6.0,25.0,0.0,0.0,5.0,39.0,17.0,0.0,9.0,8.0,0.0,39.0,15.0,15.0,0.0,44.0,6.0,0.0,0.0,12.0,20.0,55.0,11.0,1.0,10.0,35.0,0.0,58.0,22.0,108.0,7.0,17.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,0.0,27.0,0.0,0.0,3.0,0.0,16.0,14.0,22.0,8.0,13.0,35.0,41.0,54.0,0.0,21.0,2.0,10.0,44.0,0.0,4.0,0.0,30.0,0.0,34.0,24.0,33.0,0.0,46.0,39.0,276.0,0.0,107.0,0.0,61.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,13.0,2.0,15.0,0.0,0.0,0.0,4.0,10.0,51.0,11.0,18.0,9.0,22.0,12.0,7.0,0.0,31.0,19.0,7.0,10.0,5.0,2.0,25.0,32.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,18.0,31.0,8.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,8.0,19.0,7.0,0.0,15.0,0.0,14.0,20.0,32.0,22.0,1.0,52.0,25.0,42.0,0.0,11.0,30.0,15.0,13.0,16.0,29.0,67.0,14.0,144.0,49.0,26.0,71.0,25.0,35.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,8.0,0.0,41.0,0.0,31.0,11.0,0.0,2.0,120.0,104.0,84.0,0.0,13.0,15.0,40.0,0.0,199.0,266.0,0.0,1.0,13.0,143.0,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,18.0,8.0,9.0,8.0,25.0,0.0,0.0,28.0,16.0,27.0,31.0,2.0,15.0,0.0,6.0,38.0,2.0,140.0,26.0,25.0,8.0,12.0,46.0,9.0,39.0,25.0,0.0,0.0,0.0,56.0,21.0,0.0,72.0,0.0,0.0,6.0,304.0,0.0,21.0,26.0,1.0,0.0,45.0,2.0,39.0,0.0,0.0,0.0,435.0,4.0,5.0,0.0,45.0,6.0,22.0,0.0,15.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
252,9.0,29.0,8.0,43.0,5.0,10.0,58.0,14.0,69.0,0.0,0.0,8.0,41.0,35.0,12.0,14.0,20.0,99.0,0.0,16.0,26.0,0.0,28.0,90.0,51.0,21.0,28.0,0.0,0.0,0.0,5.0,50.0,31.0,0.0,215.0,16.0,0.0,0.0,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,15.0,26.0,1.0,8.0,16.0,43.0,0.0,11.0,31.0,21.0,0.0,27.0,0.0,15.0,38.0,72.0,16.0,33.0,19.0,0.0,33.0,0.0,24.0,6.0,0.0,25.0,445.0,390.0,37.0,0.0,112.0,0.0,0.0,0.0,7.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,11.0,15.0,3.0,22.0,34.0,22.0,15.0,49.0,0.0,0.0,10.0,39.0,42.0,108.0,62.0,18.0,0.0,115.0,25.0,321.0,23.0,109.0,0.0,63.0,49.0,110.0,140.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,30.0,25.0,23.0,24.0,18.0,1.0,19.0,13.0,16.0,9.0,10.0,0.0,5.0,3.0,9.0,7.0,39.0,8.0,23.0,25.0,16.0,22.0,15.0,18.0,84.0,5.0,0.0,91.0,25.0,43.0,75.0,0.0,146.0,137.0,126.0,71.0,0.0,74.0,103.0,0.0,14.0,0.0,35.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,23.0,49.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,37.0,0.0,1.0,3.0,6.0,19.0,0.0,1.0,10.0,22.0,29.0,22.0,5.0,36.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,61.0,0.0,9.0,4.0,22.0,1.0,30.0,76.0,25.0,0.0,17.0,39.0,0.0,19.0,44.0,54.0,24.0,38.0,0.0,330.0,0.0,38.0,127.0,0.0,10.0,349.0,0.0,11.0,2.0,49.0,179.0,33.0,52.0,0.0,0.0,26.0,17.0,5.0,11.0,8.0,121.0,50.0,7.0,203.0,142.0,22.0,65.0,55.0,0.0,49.0,2.0,0.0,13.0,10.0,0.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,7.0,18.0,12.0,20.0,9.0,33.0,60.0,21.0,19.0,40.0,23.0,49.0,48.0,0.0,0.0,69.0,0.0,23.0,0.0,0.0,0.0,0.0,193.0,65.0,21.0,0.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,3.0,0.0,23.0,24.0,2.0,28.0,0.0,2.0,33.0,19.0,40.0,0.0,0.0,63.0,0.0,22.0,11.0,24.0,55.0,8.0,11.0,29.0,71.0,39.0,0.0,8.0,123.0,163.0,0.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,12.0,4.0,31.0,24.0,28.0,13.0,26.0,12.0,13.0,0.0,3.0,3.0,32.0,10.0,35.0,9.0,0.0,13.0,3.0,6.0,3.0,47.0,0.0,0.0,5.0,82.0,25.0,37.0,113.0,3.0,26.0,22.0,0.0,0.0,0.0,0.0,75.0,21.0,18.0,74.0,7.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,219.0,5.0,55.0,61.0,6.0,25.0,0.0,6.0,50.0,0.0,0.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,130.0,16.0,128.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
261,11.0,0.0,27.0,11.0,17.0,8.0,21.0,5.0,0.0,0.0,0.0,14.0,3.0,0.0,99.0,1.0,22.0,37.0,103.0,43.0,56.0,4.0,32.0,31.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
